link,Рейтинг,Количество отзывов,Название,Цена,Бренд,Поддержка,Поддержка технологий NVIDIA,Поддержка трассировки лучей,Поддержка DLSS,Разъемов,Версия разъема,Количество разъемов,Количество поддерживаемых мониторов,Разъемы дополнительного,Максимальное,Рекомендуемая мощность блока,Система,Использование тепловых,Lite Hash Rate,Тип,Длина,Конструкция системы,Высота видеокарты,Габариты упаковки (ед) ДхШхВ,Вес упаковки (ед),Гарантия,OverClock,Разъемы,Толщина видеокарты,Особенности,Количество разъемов D-SUB,Низкопрофильная видеокарта (Low,Разъем DVI,Разъемов USB (Type-C),Низкопрофильная планка,Технология объединения,Количество разъемов Mini
https://www.citilink.ru/product/videokarta-palit-nvidia-geforce-rtx-3060-pa-rtx3060-dual-12g-12gb-gddr-1469005/,4.7,60,"Видеокарта Palit NVIDIA GeForce RTX 3060 PA-RTX3060 DUAL 12G 12ГБ GDDR6, LHR, Ret [ne63060019k9-190ad]",34 150₽,PALIT,DirectX 12 Ultimate/OpenGL 4.6,"NVIDIA DLSS, NVIDIA Reflex, NVIDIA STUDIO, NVIDIA Ray Tracing, NVIDIA G-Sync, NVIDIA Broadcast, NVIDIA Game Ready, NVIDIA Shadow Play, NVIDIA Ansel, NVIDIA Freestyle, NVIDIA NVENC, NVIDIA VR Works, NVIDIA CUDA",есть,есть,1,1.4a,3,4,8 pin,170 Вт,550 Вт,активное,есть,да,retail,245 мм,двухслотовая,119 мм,0.342x0.066x0.222 м,1.05 кг,36 мес.,,,,,,,,,,,
https://www.citilink.ru/product/videokarta-palit-nvidia-geforce-rtx-3060-rtx3060-dual-oc-12g-12gb-gddr-1469028/,,,‌,36 240₽,PALIT,DirectX 12 Ultimate/OpenGL 4.6,"NVIDIA DLSS, NVIDIA Reflex, NVIDIA STUDIO, NVIDIA Ray Tracing, NVIDIA G-Sync, NVIDIA Broadcast, NVIDIA Game Ready, NVIDIA Shadow Play, NVIDIA Ansel, NVIDIA Freestyle, NVIDIA NVENC, NVIDIA VR Works, NVIDIA CUDA",есть,есть,1,1.4a,3,4,8 pin,180 Вт,550 Вт,активное,есть,да,retail,245 мм,двухслотовая,119 мм,0.345x0.07x0.22 м,1.05 кг,36 мес.,да,,,,,,,,,,
https://www.citilink.ru/product/videokarta-palit-pci-e-pa-gtx1660super-gp-6g-nv-gtx1660super-6144mb-19-1496891/,4.6,13,"Видеокарта Palit NVIDIA GeForce GTX 1660SUPER PA-GTX1660SUPER GP 6G 6ГБ GDDR6, Ret [ne6166s018j9-1160a-1]",25 770₽,,DirectX 12/OpenGL 4.6,,,,1,1.4a,1,3,8 pin,,450 Вт,активное,есть,,retail,235 мм,двухслотовая,115 мм,0.34x0.07x0.22 м,1.05 кг,36 мес.,,1,40 мм,,,,,,,,
https://www.citilink.ru/product/videokarta-gigabyte-pci-e-4-0-gv-n3060vision-oc-12gd-2-0-nv-rtx3060-12-1535676/,4.9,30,"Видеокарта GIGABYTE NVIDIA GeForce RTX 3060 GV-N3060VISION OC-12GD 2.0 LHR 12ГБ GDDR6, OC, LHR, Ret",41 900₽,GIGABYTE,DirectX 12 Ultimate/OpenGL 4.6,"NVIDIA DLSS, NVIDIA Reflex, NVIDIA STUDIO, NVIDIA Ray Tracing, NVIDIA G-Sync, NVIDIA Broadcast, NVIDIA Game Ready, NVIDIA Shadow Play, NVIDIA Ansel, NVIDIA Freestyle, NVIDIA NVENC, NVIDIA VR Works, NVIDIA CUDA",есть,есть,2,1.4a,2,4,8 pin,,550 Вт,активное,есть,да,retail,280 мм,двухслотовая,116 мм,0.4x0.09x0.24 м,1.03 кг,36 мес.,да,,41 мм,,,,,,,,
https://www.citilink.ru/product/videokarta-asus-pci-e-4-0-dual-rtx3060-o12g-v2-lhr-nv-rtx3060-12288mb-1543629/,5,8,"Видеокарта ASUS NVIDIA GeForce RTX 3060 DUAL-RTX3060-O12G-V2 LHR 12ГБ GDDR6, OC, LHR, Ret",43 990₽,ASUS,DirectX 12 Ultimate/OpenGL 4.6,"NVIDIA DLSS, NVIDIA Reflex, NVIDIA STUDIO, NVIDIA Ray Tracing, NVIDIA G-Sync, NVIDIA Broadcast, NVIDIA Game Ready, NVIDIA Shadow Play, NVIDIA Ansel, NVIDIA Freestyle, NVIDIA NVENC, NVIDIA VR Works, NVIDIA CUDA",есть,есть,1,1.4a,3,4,8 pin,,650 Вт,активное,есть,да,retail,200 мм,двухслотовая,123 мм,0.305x0.223x0.055 м,0.98 кг,36 мес.,да,,38 мм,,,,,,,,
https://www.citilink.ru/product/videokarta-palit-pci-e-4-0-pa-rtx3070ti-gamingpro-8g-nv-rtx3070ti-8192-1528277/,4.7,26,"Видеокарта Palit NVIDIA GeForce RTX 3070TI PA-RTX3070TI GAMINGPRO 8G 8ГБ GDDR6X, Ret [ned307t019p2-1046a]",68 080₽,PALIT,DirectX 12 Ultimate/OpenGL 4.6,"NVIDIA DLSS, NVIDIA Reflex, NVIDIA STUDIO, NVIDIA Ray Tracing, NVIDIA G-Sync, NVIDIA Broadcast, NVIDIA Game Ready, NVIDIA Shadow Play, NVIDIA Ansel, NVIDIA Freestyle, NVIDIA NVENC, NVIDIA VR Works, NVIDIA CUDA",есть,есть,1,1.4a,3,4,8+8 pin,290 Вт,700 Вт,активное,есть,,retail,294 мм,трехслотовая,112 мм,0.375x0.095x0.213 м,1.687 кг,36 мес.,,,60 мм,,,,,,,,
https://www.citilink.ru/product/videokarta-msi-pci-e-4-0-rtx-3050-gaming-x-8g-nv-rtx3050-8192mb-64-gdd-1680443/,5,51,"Видеокарта MSI NVIDIA GeForce RTX 3050 RTX 3050 GAMING X 8G 8ГБ GDDR6, Ret",31 420,MSI,DirectX 12 Ultimate/OpenGL 4.6,"NVIDIA DLSS, NVIDIA Reflex, NVIDIA STUDIO, NVIDIA Ray Tracing, NVIDIA G-Sync, NVIDIA Broadcast, NVIDIA Game Ready, NVIDIA Shadow Play, NVIDIA Ansel, NVIDIA Freestyle, NVIDIA NVENC, NVIDIA VR Works, NVIDIA CUDA",есть,есть,1,1.4a,3,4,8 pin,130 Вт,550 Вт,активное,есть,,retail,278 мм,двухслотовая,130 мм,0.38x0.085x0.27 м,1.671 кг,36 мес.,,,49 мм,,,,,,,,
https://www.citilink.ru/product/videokarta-palit-pci-e-4-0-pa-rtx3060ti-dual-8g-nv-rtx3060ti-8192mb-25-1825340/,5,36,"Видеокарта Palit NVIDIA GeForce RTX 3060Ti PA-RTX3060Ti DUAL 8G 8ГБ GDDR6, Ret [ne6306t019p2-190ad]",47 130₽,PALIT,DirectX 12 Ultimate/OpenGL 4.6,"NVIDIA DLSS, NVIDIA Reflex, NVIDIA STUDIO, NVIDIA Ray Tracing, NVIDIA G-Sync, NVIDIA Broadcast, NVIDIA Game Ready, NVIDIA Shadow Play, NVIDIA Ansel, NVIDIA Freestyle, NVIDIA NVENC, NVIDIA VR Works, NVIDIA CUDA",есть,есть,1,1.4a,3,4,8 pin,200 Вт,550 Вт,активное,есть,,retail,247 мм,двухслотовая,120 мм,0.38x0.09x0.27 м,1.03 кг,36 мес.,,,40 мм,,,,,,,,
https://www.citilink.ru/product/videokarta-palit-pci-e-4-0-pa-rtx3060ti-dual-oc-8g-v1-lhr-nv-rtx3060ti-1542005/,4.9,44,"Видеокарта Palit NVIDIA GeForce RTX 3060Ti PA-RTX3060Ti DUAL OC 8G V1 LHR 8ГБ GDDR6, OC, LHR, Ret [ne6306ts19p2-190ad]",41 900₽,PALIT,DirectX 12 Ultimate/OpenGL 4.6,,есть,есть,1,1.4a,3,4,8 pin,200 Вт,550 Вт,активное,есть,да,retail,247 мм,двухслотовая,120 мм,0.34x0.06x0.22 м,1.08 кг,36 мес.,да,,40 мм,,,,,,,,
https://www.citilink.ru/product/videokarta-palit-pci-e-pa-rtx2060super-dual-8g-no-led-nv-rtx2060super-1489448/,4.6,63,"Видеокарта Palit NVIDIA GeForce RTX 2060SUPER PA-RTX2060SUPER DUAL 8G no LED 8ГБ GDDR6, Ret [ne6206s018p2-1160a-1]",35 610₽,PALIT,DirectX 12/OpenGL 4.6,"NVIDIA DLSS, NVIDIA Reflex, NVIDIA STUDIO, NVIDIA Ray Tracing, NVIDIA G-Sync, NVIDIA Broadcast, NVIDIA Game Ready, NVIDIA Shadow Play, NVIDIA Ansel, NVIDIA Freestyle, NVIDIA NVENC, NVIDIA VR Works, NVIDIA CUDA",,есть,1,1.4a,1,3,8 pin,175 Вт,550 Вт,активное,есть,,retail,235 мм,двухслотовая,112 мм,0.345x0.22x0.067 м,0.89 кг,36 мес.,,1,40 мм,,,,,,,,
