link,Рейтинг,Количество отзывов,Название,Цена,Бренд,Сокет процессора,Процессор,"Процессор, частота",Количество ядер процессора,Чипсет материнской платы,Оперативная память,Максимальный объем оперативной памяти,Тип графического контроллера,Графика,Объем SSD,Тип кабельной сети (разъем RJ-45),Операционная система,Разъемов PS/2,Разъемов USB 2.0,Разъемов USB 3.0,Разъемов HDMI,Разъемов DisplayPort,Разъем для микрофона,Разъем для наушников,Тип корпуса,Блок питания,Цвет корпуса,Вес товара,Размеры корпуса (ШхВхГ),Гарантийное,Гарантия,Габариты упаковки (ед) ДхШхВ,Вес упаковки (ед),Разъемов D-Sub,Особенности графического контроллера,Поддержка Wi-Fi,Стандарт Wi-Fi,Поддержка Bluetooth,Стандарт Bluetooth,Разъемов USB 3.0 (Type-C),Тип блока питания,Кард-ридер,Разъемов USB 3.1,Разъемов USB 2.0 (Type-C),Разъемов DVI,Разъем наушники/микрофон,Разъемов USB 3.2 (Type-C),Жесткий диск,Разъемов USB 3.1 (Type-C),Отделка корпуса,Особенности оперативной памяти,Особенности жестких дисков,Комплектация,Страна производства,Число ядер GPU,Разъемов Thunderbolt 3,Входное напряжение (мин),Входное напряжение (макс),Тип вилки,Частота энергоэффективных ядер,Количество высокопроизводительных ядер,Количество энергоэффективных ядер,Разрядность ОС,Клавиатура,Клавиатура с русскими буквами,Мышь,Объем второго SSD,Частота электросети,Особенности ОС,Разъемов RS-232,Особенности,Разъемов Thunderbolt 4,Разъемов USB 4.0,Поддержка карт памяти,Экран с поддержкой 3D,Возможность монтажа в стойку,Оптический привод,Монитор в комплекте,Встроенные динамики,Размер крепления VESA,Дополнительно в комплекте,Особенности процессора,Поддержка Intel Optane,Буферная память HDD,Модель монитора,Диагональ экрана,Разрешение экрана,Яркость экрана,Время отклика,Угол обзора
https://www.citilink.ru/product/pk-iru-game-310h5gma-mt-i5-11400f-16gb-ssd1tb-rtx3060-12gb-dos-chernyi-1859665/,4.8,32,"Компьютер iRU Game 310H5GMA, Intel Core i5 11400F, DDR4 16ГБ, 1ТБ(SSD), NVIDIA GeForce RTX 3060 - 12288 Мб, Free DOS, черный [1859665]",89 300₽,IRU,LGA 1200,Intel Core i5 11400F,"2.6 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,Intel H510,"16 ГБ, DDR4, DIMM, 3200 МГц",64 ГБ,дискретный,NVIDIA GeForce RTX 3060 - 12288 Мб,1024 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),2,4,1,3,1,1,miditower,650 Вт,черный,7 кг,210 х 495 х 403 мм,Гарантия СЦ производителя,36 мес.,0.5x0.26x0.46 м,9.4 кг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-home-310h5se-mt-i3-10105-8gb-ssd240gb-uhdg-630-dos-chernyi-1788608/,4.7,19,"Компьютер iRU Home 310H5SE, Intel Core i3 10105, DDR4 8ГБ, 240ГБ(SSD), Intel UHD Graphics 630, Free DOS, черный [1788608]",31 400₽,IRU,LGA 1200,Intel Core i3 10105,"3.7 ГГц (4.4 ГГц, в режиме Turbo)",4-ядерный,Intel H470,"8 ГБ, DDR4, DIMM, 2666 МГц",64 ГБ,интегрированный,Intel UHD Graphics 630,240 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),6,3,1,,1,1,minitower,400 Вт,черный,6.5 кг,165 х 350 х 350 мм,Гарантия СЦ производителя,36 мес.,0.525x0.255x0.566 м,9.4 кг,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-game-310h5gs-mt-i5-11400f-16gb-ssd1tb-rtx3050-8gb-dos-chernyi-1863687/,5,9,"Компьютер iRU Game 310H5GS, Intel Core i5 11400F, DDR4 16ГБ, 1ТБ(SSD), NVIDIA GeForce RTX 3050 - 8192 Мб, Free DOS, черный [1863687]",86 500₽,,,,,,,,,,,1024 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),2,4,1,3,1,1,miditower,500 Вт,черный,7 кг,185 х 305 х 390 мм,Гарантия СЦ производителя,36 мес.,0.46x0.27x0.37 м,9.4 кг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-home-310h5se-mt-i3-10105-16gb-ssd240gb-uhdg-630-dos-chernyi-1793514/,4.6,5,"Компьютер iRU Home 310H5SE, Intel Core i3 10105, DDR4 16ГБ, 240ГБ(SSD), Intel UHD Graphics 630, Free DOS, черный [1793514]",33 600₽,IRU,LGA 1200,Intel Core i3 10105,"3.7 ГГц (4.4 ГГц, в режиме Turbo)",4-ядерный,Intel H510,"16 ГБ, DDR4, DIMM, 2666 МГц",64 ГБ,интегрированный,Intel UHD Graphics 630,240 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),6,3,1,,1,1,minitower,400 Вт,черный,6.5 кг,165 х 350 х 350 мм,Гарантия СЦ производителя,36 мес.,0.526x0.25x0.58 м,9.4 кг,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-msi-infinite-s3-12th-606xru-mt-i5-12400f-16gb-ssd512gb-rtx3050-8gb-1856653/,,,‌,33 600₽,MSI,,Intel Core i5 12400F,"2.5 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,Intel H610,"16 ГБ, DDR4, DIMM, 3200 МГц",64 ГБ,дискретный,NVIDIA GeForce RTX 3050 - 8192 Мб,512 ГБ,Gigabit Ethernet,noOS,1 (комбинированный),4,3,1,3,1,1,minitower,500 Вт,черный,7.73 кг,173.8 х 407.17 х 446.97 мм,Гарантия СЦ производителя,12 мес.,0.588x0.319x0.51 м,10.12 кг,,установлена видеокарта MSI GeForce RTX 3050 VENTUS 2X 8G OC,есть,802.11 a/b/g/n/ac,есть,v4.2,1,внутренний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-hp-pavilion-tg01-2017ur-mt-i5-11400f-16gb-ssd512gb-rtx3060ti-8gb-cr-1549847/,5,2,"Компьютер HP Pavilion TG01-2017ur, Intel Core i5 11400F, DDR4 16ГБ, 512ГБ(SSD), NVIDIA GeForce RTX 3060Ti - 8192 Мб, CR, Free DOS 3.0, черный [42v08ea]",101 500₽,HP,,Intel Core i5 11400F,"2.6 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,Intel H570,"16 ГБ, DDR4, DIMM, 2933 МГц",,дискретный,NVIDIA GeForce RTX 3060Ti - 8192 Мб,512 ГБ,Gigabit Ethernet,Free DOS 3.0,,4,2,1,,,,tower,500 Вт,черный,5.96 кг,155.4 х 337.4 х 303 мм,Гарантия продавца,12 мес.,0.491x0.4x0.28 м,13.6 кг,,,есть,802.11 a/b/g/n/ac,есть,v5.0,,внутренний,встроенный,2 шт,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-msi-creator-p50-11si-232xru-mt-i5-11400-16gb-ssd512gb-gtx1660-super-1794798/,4.8,5,"Компьютер MSI Creator P50 11SI-232XRU, Intel Core i5 11400, DDR4 16ГБ, 512ГБ(SSD), NVIDIA GeForce GTX 1660 Super - 6144 Мб, noOS, белый [9s6-b93712-232]",93 800₽,MSI,,Intel Core i5 11400,"2.6 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,Intel B560,"16 ГБ, DDR4, DIMM, 3200 МГц",64 ГБ,дискретный,NVIDIA GeForce GTX 1660 Super - 6144 Мб,512 ГБ,Gigabit Ethernet,noOS,,,,1,3,1,1,minitower,330 Вт,белый,7.71 кг,131.85 х 408.88 х 372.2 мм,Гарантия СЦ производителя,12 мес.,0.45x0.17x0.31 м,8.82 кг,,,есть,802.11 a/b/g/n/ac/ax,есть,v5.2,,внутренний,,2 шт,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-msi-infinite-11si-1611xru-mt-i5-11400f-16gb-ssd512gb-gtx1660-super-1794769/,4.5,4,"Компьютер MSI Infinite 11SI-1611XRU, Intel Core i5 11400F, DDR4 16ГБ, 512ГБ(SSD), NVIDIA GeForce GTX 1660 Super - 6144 Мб, noOS, черный [9s6-b91591-1611]",83 030,MSI,,Intel Core i5 11400F,"2.6 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,Intel H510,"16 ГБ, DDR4, DIMM, 3200 МГц",64 ГБ,дискретный,NVIDIA GeForce GTX 1660 Super - 6144 Мб,512 ГБ,Gigabit Ethernet,noOS,,5,3,1,3,1,1,minitower,500 Вт,черный,10 кг,210 х 488 х 450 мм,Гарантия СЦ производителя,12 мес.,0.61x0.315x0.585 м,11.7 кг,,,есть,802.11 a/b/g/n/ac/ax,есть,v5.2,1,внутренний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-msi-infinite-11th-1610xru-mt-i5-11400f-16gb-ssd1tb-rtx3050-8gb-noos-1794761/,5,1,"Компьютер MSI Infinite 11TH-1610XRU, Intel Core i5 11400F, DDR4 16ГБ, 1ТБ(SSD), NVIDIA GeForce RTX 3050 - 8192 Мб, noOS, черный [9s6-b91591-1610]",96 500₽,MSI,,Intel Core i5 11400F,"2.6 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,Intel H510,"16 ГБ, DDR4, DIMM, 3200 МГц",64 ГБ,дискретный,NVIDIA GeForce RTX 3050 - 8192 Мб,1024 ГБ,Gigabit Ethernet,noOS,,5,3,1,3,1,1,minitower,500 Вт,черный,10 кг,210 х 488 х 450 мм,Гарантия СЦ производителя,12 мес.,0.58x0.31x0.62 м,7.7 кг,,,есть,802.11 a/b/g/n/ac/ax,есть,v5.2,1,внутренний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-acer-aspire-tc-1660-mt-i5-10400f-8gb-1tb-gtx1650-4gb-cr-endless-che-1536998/,5,7,"Компьютер Acer Aspire TC-1660, Intel Core i5 11400F, DDR4 8ГБ, 1000ГБ, NVIDIA GeForce GTX 1650 - 4096 Мб, noOS, черный [dg.bgzer.00c]",57 990₽,ACER,,Intel Core i5 11400F,"2.6 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,Intel B560,"8 ГБ, DDR4, DIMM",,дискретный,NVIDIA GeForce GTX 1650 - 4096 Мб,,Gigabit Ethernet,noOS,,4,2,1,,1,1,tower,500 Вт,черный,7.4 кг,163 х 340 х 350 мм,Гарантия СЦ производителя,12 мес.,0.5x0.24x0.42 м,5.3 кг,,,,,,,,,,1 шт,,1,,,"1000 ГБ, 7200 об/мин, SATA III",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
