link,Рейтинг,Количество отзывов,Название,Цена,Бренд,Максимальный объем памяти,Тип памяти,Поддержка частот памяти,Количество каналов памяти,Пропускная способность памяти,Поддержка памяти ECC,Версия PCI Express,Количество каналов PCI Express,Конфигурация PCI Express,Встроенное графическое ядро,Вес упаковки (ед),Гарантия,Модель графического ядра,Частота графического ядра,Габариты упаковки (ед) ДхШхВ,Максимальный объем видеопамяти,Поддержка WiDi,Особенности
https://www.citilink.ru/product/processor-intel-s-core-i5-12400f-soc-1700-2-5ghz-oem-1782240/,4.9,18,"Процессор Intel Core i5 12400F, LGA 1700, OEM",16 790,INTEL,128 ГБ,DDR5/ DDR4,DDR5 4800 МГц DDR4 3200 МГц,2,76.8 GB/s,не поддерживается,PCI Express 5.0,20,"1x16+4, 2x8+4",отсутствует,0.053 кг,12 мес.,,,,,,
https://www.citilink.ru/product/processor-amd-s-ryzen-5-3600-am4-100-000000031-3-6ghz-oem-1773826/,4.9,32,"Процессор AMD Ryzen 5 3600, SocketAM4, OEM [100-000000031]",8 790₽,AMD,,DDR4,3200 МГц,2,,не поддерживается,PCI Express 4.0,16,,отсутствует,0.08 кг,12 мес.,,,,,,
https://www.citilink.ru/product/processor-intel-s-core-i3-12100f-soc-1700-3-3ghz-oem-1779456/,4.9,23,"Процессор Intel Core i3 12100F, LGA 1700, OEM",8 990₽,INTEL,128 ГБ,DDR5/ DDR4,DDR5 4800 МГц DDR4 3200 МГц,2,76.8 GB/s,не поддерживается,PCI Express 5.0,20,"1x16+4, 2x8+4",отсутствует,0.053 кг,12 мес.,,,,,,
https://www.citilink.ru/product/processor-amd-s-ryzen-5-5600g-am4-100-000000252-3-9ghz-amd-radeon-oem-1773831/,4.8,13,"Процессор AMD Ryzen 5 5600G, SocketAM4, OEM [100-000000252]",11 990₽,AMD,128 ГБ,DDR4,3200 МГц,2,,не поддерживается,PCI Express 3.0,16,,есть,0.053 кг,12 мес.,AMD Radeon,1900 МГц,0.04x0.03x0.005 м,,,
https://www.citilink.ru/product/processor-amd-s-ryzen-5-5600x-am4-100-000000065-3-7ghz-oem-1773829/,5,26,"Процессор AMD Ryzen 5 5600X, SocketAM4, OEM [100-000000065]",15 990₽,AMD,128 ГБ,DDR4,3200 МГц,2,,не поддерживается,PCI Express 4.0,20,,отсутствует,0.102 кг,12 мес.,,,,,,
https://www.citilink.ru/product/processor-intel-s-core-i5-12400-soc-1700-2-5ghz-iuhdg730-oem-1855474/,5,5,"Процессор Intel Core i5 12400, LGA 1700, OEM",16 990₽,INTEL,128 ГБ,DDR5/ DDR4,DDR5 4800 МГц DDR4 3200 МГц,2,76.8 GB/s,не поддерживается,PCI Express 5.0,20,"1x16+4, 2x8+4",есть,0.066 кг,12 мес.,Intel UHD Graphics 730,300 МГц и 1450 МГц Turbo,,,,
https://www.citilink.ru/product/processor-intel-s-core-i5-11400f-soc-1200-2-6ghz-oem-1722999/,5,27,"Процессор Intel Core i5 11400F, LGA 1200, OEM",12 490₽,INTEL,128 ГБ,DDR4,3200 МГц,2,50 GB/s,не поддерживается,PCI Express 4.0,20,"1x16+1x4, 2x8+1x4, 1x8+3x4",отсутствует,0.039 кг,12 мес.,,,,,,
https://www.citilink.ru/product/processor-intel-s-core-i3-10100f-soc-1200-3-6ghz-oem-1723000/,4.9,27,"Процессор Intel Core i3 10100F, LGA 1200, OEM",6 190₽,INTEL,128 ГБ,DDR4,2666 МГц,2,41.6 GB/s,не поддерживается,PCI Express 3.0,16,"1x16, 2x8, 1x8+2x4",отсутствует,0.029 кг,12 мес.,,,,,,
https://www.citilink.ru/product/processor-intel-s-core-i5-12400f-soc-1700-2-5ghz-oem-1862724/,5,14,"Процессор Intel Core i5 12400F, LGA 1700, OEM",16 790,INTEL,128 ГБ,DDR5/ DDR4,DDR5 4800 МГц DDR4 3200 МГц,2,76.8 GB/s,не поддерживается,PCI Express 5.0,20,"1x16+4, 2x8+4",отсутствует,0.053 кг,12 мес.,,,,,,
https://www.citilink.ru/product/processor-intel-s-core-i3-10105f-soc-1200-3-7ghz-oem-1795649/,5,18,"Процессор Intel Core i3 10105F, LGA 1200, OEM",6 790₽,INTEL,128 ГБ,DDR4,2666 МГц,2,41.6 GB/s,не поддерживается,PCI Express 3.0,16,"1x16, 2x8, 1x8+2x4",отсутствует,0.04 кг,12 мес.,,,,,,
