Частота графического ядра,Рейтинг,Пропускная способность памяти,Количество отзывов,Название,Количество каналов памяти,Поддержка памяти ECC,Гарантия,Встроенное графическое ядро,Цена,Максимальный объем памяти,Максимальный объем видеопамяти
0.0,4.0,76.8,7.0,i5-12400f,2.0,0.0,12.0,0.0,16790.0,128.0,0.0
0.0,3.1,0.0,17.0,ryzen 5 3600,2.0,0.0,12.0,0.0,8790.0,0.0,0.0
0.0,2.3,76.8,18.0,i3-12100f,2.0,0.0,12.0,0.0,8990.0,128.0,0.0
1900.0,3.4,0.0,13.0,ryzen 5 5600g,2.0,0.0,12.0,1.0,11990.0,128.0,0.0
0.0,5.0,0.0,11.0,ryzen 5 5600x,2.0,0.0,12.0,0.0,15990.0,128.0,0.0
300.0,4.6,76.8,12.0,i5-12400,2.0,0.0,12.0,1.0,16990.0,128.0,0.0
0.0,4.2,50.0,4.0,i5-11400f,2.0,0.0,12.0,0.0,12490.0,128.0,0.0
0.0,5.0,41.6,7.0,i3-10100f,2.0,0.0,12.0,0.0,6190.0,128.0,0.0
0.0,4.2,76.8,10.0,i5-12400f,2.0,0.0,12.0,0.0,16790.0,128.0,0.0
0.0,4.7,41.6,10.0,i3-10105f,2.0,0.0,12.0,0.0,6790.0,128.0,0.0
350.0,4.1,41.6,15.0,i3-10105,2.0,0.0,12.0,1.0,10990.0,128.0,64.0
0.0,4.8,41.6,11.0,i5-10400f,2.0,0.0,12.0,0.0,9990.0,128.0,0.0
0.0,3.6,0.0,1.0,i3-12100,0.0,0.0,0.0,0.0,11990.0,0.0,0.0
1900.0,3.7,0.0,18.0,ryzen 5 4600g,2.0,0.0,12.0,1.0,10390.0,128.0,0.0
350.0,4.1,41.6,6.0,0,2.0,0.0,12.0,1.0,7190.0,128.0,64.0
350.0,5.0,50.0,9.0,i5-11400,2.0,0.0,12.0,1.0,15590.0,128.0,64.0
0.0,3.4,0.0,21.0,ryzen 7 5800x,2.0,0.0,12.0,0.0,23990.0,0.0,0.0
0.0,5.0,76.8,9.0,i5-12600kf,2.0,0.0,12.0,0.0,24490.0,128.0,0.0
2000.0,3.3,0.0,16.0,ryzen 7 5700g,2.0,0.0,12.0,1.0,17390.0,0.0,0.0
0.0,4.2,89.6,15.0,i5-13600kf,2.0,0.0,12.0,0.0,30490.0,128.0,0.0
300.0,2.0,76.8,17.0,i5-12600k,2.0,0.0,12.0,1.0,26290.0,128.0,0.0
300.0,4.6,89.6,5.0,i7-13700k,2.0,1.0,12.0,1.0,43990.0,128.0,0.0
350.0,4.1,41.6,20.0,i3-10100,2.0,0.0,12.0,1.0,11590.0,128.0,64.0
0.0,5.0,0.0,12.0,ryzen 9 5900x,2.0,0.0,12.0,0.0,27890.0,0.0,0.0
0.0,4.4,76.8,17.0,i7-12700kf,2.0,0.0,12.0,0.0,32590.0,128.0,0.0
300.0,2.9,76.8,6.0,i5-12500,2.0,1.0,12.0,1.0,19990.0,128.0,0.0
350.0,4.6,41.6,10.0,"celeron g5905, lga 1200, oem",2.0,0.0,12.0,1.0,4190.0,128.0,64.0
0.0,2.6,0.0,14.0,ryzen 7 3700x,2.0,0.0,12.0,0.0,16990.0,0.0,0.0
0.0,5.0,89.6,13.0,i7-13700kf,2.0,0.0,12.0,0.0,42990.0,128.0,0.0
0.0,3.4,76.8,15.0,i7-12700f,2.0,0.0,12.0,0.0,30490.0,128.0,0.0
300.0,3.1,89.6,2.0,i5-13600k,2.0,0.0,12.0,1.0,32990.0,128.0,0.0
300.0,4.2,76.8,9.0,i7-12700,2.0,0.0,12.0,1.0,31990.0,128.0,0.0
1900.0,4.6,0.0,11.0,ryzen 5 pro 4650g,2.0,0.0,12.0,1.0,10290.0,0.0,0.0
0.0,3.4,0.0,10.0,ryzen 5 5500,2.0,0.0,12.0,0.0,9290.0,0.0,0.0
0.0,4.5,50.0,12.0,i7-11700f,2.0,0.0,12.0,0.0,22990.0,128.0,0.0
350.0,5.0,45.8,7.0,i7-10700,2.0,0.0,12.0,1.0,22790.0,128.0,64.0
1700.0,4.5,0.0,1.0,ryzen 3 pro 4350g,2.0,0.0,12.0,1.0,9290.0,0.0,0.0
300.0,2.0,76.8,5.0,i7-12700k,2.0,0.0,12.0,1.0,34690.0,128.0,0.0
350.0,4.6,41.6,15.0,0,2.0,0.0,12.0,1.0,7190.0,128.0,64.0
0.0,4.2,89.6,1.0,i9-13900kf,2.0,0.0,12.0,0.0,61890.0,128.0,0.0
300.0,4.5,89.6,4.0,i9-13900k,2.0,1.0,12.0,1.0,62990.0,128.0,0.0
400.0,3.9,0.0,1.0,ryzen 5 7600x,2.0,1.0,12.0,1.0,23990.0,128.0,0.0
0.0,3.0,0.0,10.0,ryzen 7 5700x,2.0,0.0,12.0,0.0,18790.0,0.0,0.0
0.0,4.9,0.0,19.0,ryzen 9 5950x,2.0,0.0,12.0,0.0,41790.0,0.0,0.0
400.0,4.7,0.0,4.0,ryzen 7 7700x,2.0,1.0,12.0,1.0,32990.0,128.0,0.0
350.0,4.0,41.6,24.0,i5-10400,2.0,0.0,12.0,1.0,13790.0,128.0,64.0
300.0,3.8,76.8,8.0,i5-13400,2.0,0.0,12.0,1.0,20990.0,128.0,0.0
0.0,2.9,76.8,9.0,i5-13400f,2.0,0.0,12.0,0.0,20490.0,128.0,0.0
350.0,4.0,50.0,11.0,i7-11700,2.0,0.0,12.0,1.0,23990.0,128.0,64.0
300.0,4.5,76.8,5.0,0,2.0,0.0,12.0,1.0,7090.0,128.0,0.0
0.0,3.7,41.6,12.0,i5-10600kf,2.0,0.0,12.0,0.0,17890.0,128.0,0.0
400.0,4.0,0.0,14.0,ryzen 9 7950x,2.0,1.0,12.0,1.0,56990.0,128.0,0.0
0.0,2.4,0.0,9.0,i7-10700f,0.0,0.0,0.0,0.0,19490.0,0.0,0.0
0.0,2.0,50.0,2.0,i7-11700kf,2.0,0.0,12.0,0.0,23990.0,128.0,0.0
350.0,4.1,50.0,8.0,i7-11700k,2.0,0.0,12.0,1.0,31990.0,128.0,64.0
0.0,5.0,0.0,15.0,ryzen 5 7600x,2.0,1.0,12.0,1.0,23990.0,128.0,0.0
0.0,3.9,50.0,9.0,i5-11600kf,2.0,0.0,12.0,0.0,21990.0,128.0,0.0
0.0,4.0,76.8,1.0,i3-13100f,2.0,0.0,12.0,0.0,10490.0,128.0,0.0
300.0,3.6,89.6,6.0,i7-13700,2.0,0.0,12.0,1.0,40990.0,128.0,0.0
0.0,3.2,0.0,13.0,ryzen 3 4100,2.0,0.0,12.0,0.0,5190.0,128.0,0.0
0.0,5.0,0.0,7.0,ryzen 7 5800x3d,0.0,0.0,12.0,0.0,32590.0,0.0,0.0
400.0,3.6,0.0,14.0,ryzen 9 7900x,2.0,1.0,12.0,1.0,38990.0,128.0,0.0
0.0,2.0,0.0,6.0,ryzen 5 pro 4650ge,2.0,0.0,12.0,1.0,9490.0,0.0,0.0
1300.0,3.0,0.0,12.0,ryzen 5 3400ge,2.0,0.0,12.0,1.0,10190.0,0.0,0.0
0.0,4.4,0.0,7.0,ryzen 3 4100,2.0,0.0,12.0,0.0,6190.0,128.0,0.0
0.0,3.9,0.0,6.0,ryzen 7 7700x,2.0,1.0,12.0,1.0,33990.0,128.0,0.0
0.0,4.1,89.6,8.0,i7-13700f,2.0,0.0,12.0,0.0,38990.0,128.0,0.0
300.0,5.0,76.8,19.0,i5-13500,2.0,1.0,12.0,1.0,26290.0,128.0,32.0
0.0,4.8,0.0,9.0,ryzen 3 4300g,2.0,0.0,12.0,1.0,8990.0,0.0,0.0
1029.0,3.3,38.4,5.0,a10 8770 pro,2.0,0.0,12.0,1.0,5190.0,0.0,0.0
0.0,3.1,0.0,5.0,ryzen 9 7900x,2.0,1.0,12.0,1.0,40990.0,128.0,0.0
1900.0,5.0,0.0,16.0,ryzen 5 4600g,2.0,0.0,12.0,1.0,11990.0,128.0,0.0
0.0,2.8,0.0,12.0,ryzen 5 3500,2.0,0.0,12.0,0.0,8190.0,128.0,0.0
0.0,3.8,0.0,14.0,ryzen 5 1600,2.0,0.0,12.0,0.0,8390.0,0.0,0.0
350.0,4.4,34.1,4.0,процессор,2.0,1.0,12.0,1.0,1890.0,64.0,64.0
0.0,4.5,0.0,13.0,i9-10920x,4.0,0.0,12.0,0.0,70390.0,256.0,0.0
350.0,2.9,34.1,11.0,процессор,2.0,1.0,12.0,1.0,1890.0,64.0,64.0
0.0,5.0,0.0,15.0,ryzen 7 3800x,2.0,0.0,12.0,0.0,22990.0,128.0,0.0
0.0,4.4,0.0,4.0,i9-10900x,4.0,0.0,12.0,0.0,56690.0,256.0,0.0
0.0,4.9,0.0,10.0,ryzen 9 3950x,2.0,0.0,12.0,0.0,41990.0,128.0,0.0
350.0,4.2,41.6,15.0,i5-10500,2.0,0.0,12.0,1.0,17790.0,128.0,64.0
0.0,5.0,0.0,6.0,ryzen 9 7950x,2.0,1.0,12.0,1.0,58990.0,128.0,0.0
0.0,2.5,0.0,4.0,ryzen 9 5900x,2.0,0.0,12.0,0.0,29990.0,0.0,0.0
0.0,5.0,0.0,12.0,i9-10940x,4.0,0.0,12.0,0.0,79790.0,256.0,0.0
300.0,3.9,76.8,12.0,i5-12600,2.0,0.0,12.0,1.0,27290.0,128.0,0.0
400.0,5.0,0.0,12.0,sempron 2650,1.0,0.0,12.0,1.0,2090.0,0.0,0.0
1900.0,2.8,0.0,14.0,ryzen 5 pro 5650g,2.0,0.0,12.0,1.0,17890.0,0.0,0.0
350.0,2.8,50.0,11.0,i7-11700k,2.0,0.0,12.0,1.0,32990.0,128.0,64.0
800.0,4.1,38.4,12.0,a6 9500e,2.0,0.0,12.0,1.0,990.0,0.0,0.0
