Частота графического ядра,Рейтинг,Пропускная способность памяти,Количество отзывов,Название,Количество каналов памяти,Поддержка памяти ECC,Гарантия,Встроенное графическое ядро,Цена,Максимальный объем памяти,Максимальный объем видеопамяти
350.0,2.7,50.0,8.0,i5-11600k,2.0,0.0,12.0,1.0,19499,128.0,0.0
350.0,3.5,41.6,6.0,i3-10100,2.0,0.0,12.0,1.0,10399,128.0,64.0
350.0,5.0,41.6,5.0,i3-10100,2.0,0.0,36.0,1.0,11499,128.0,64.0
350.0,4.3,0.0,8.0,celeron g5925 s1200 3.6g ,2.0,0.0,36.0,1.0,5699,128.0,0.0
350.0,2.7,50.0,1.0,i7 11700,2.0,0.0,12.0,1.0,32999,128.0,64.0
0.0,3.6,50.0,6.0,процессор,2.0,0.0,12.0,0.0,25999,128.0,0.0
0.0,3.7,76.8,13.0,i7 12700,2.0,0.0,12.0,0.0,34999,128.0,0.0
800.0,4.3,0.0,4.0,a6 9500e am4 oem (ad9500ahm23ab),2.0,0.0,12.0,1.0,0,0.0,0.0
0.0,4.4,0.0,9.0,athlon x2 450 fm2+ oem (ad450xybi23ja),0.0,0.0,12.0,0.0,0,0.0,0.0
0.0,4.7,0.0,3.0,i5-12400,2.0,0.0,36.0,1.0,14999,128.0,0.0
0.0,2.5,76.8,15.0,i5-12600,2.0,1.0,12.0,0.0,18499,128.0,0.0
0.0,2.7,0.0,9.0,i7-12700,0.0,0.0,36.0,1.0,29499,0.0,0.0
0.0,5.0,0.0,18.0,i5-12600kf,0.0,0.0,36.0,0.0,22299,128.0,0.0
0.0,2.8,45.8,9.0,i7-10700f,2.0,0.0,12.0,0.0,21999,128.0,0.0
0.0,5.0,50.0,4.0,i5-11600kf,2.0,0.0,12.0,0.0,18899,128.0,0.0
0.0,2.5,76.8,6.0,i5-12600kf,2.0,0.0,12.0,0.0,23499,128.0,0.0
300.0,5.0,76.8,5.0,i7-12700,2.0,1.0,12.0,1.0,29999,128.0,0.0
0.0,3.4,0.0,19.0,i5-12400f,2.0,0.0,36.0,0.0,18790,128.0,0.0
0.0,3.9,0.0,6.0,i7-10700f,0.0,0.0,36.0,0.0,19999,0.0,0.0
350.0,4.9,45.8,2.0,i7 10700,2.0,0.0,12.0,1.0,26999,128.0,64.0
350.0,4.1,45.8,9.0,i7-10700,2.0,0.0,12.0,1.0,24499,128.0,64.0
0.0,3.6,41.6,13.0,i3-10100f-3.6ghz-1200-box,2.0,0.0,12.0,0.0,6299,128.0,0.0
0.0,5.0,41.6,5.0,i5-9400f-2.9ghz-9mb-1151-box,2.0,0.0,12.0,0.0,0,128.0,0.0
0.0,5.0,41.6,7.0,i5-10400f-2.9ghz-12mb-1200-box,2.0,0.0,12.0,0.0,10799,128.0,0.0
350.0,5.0,41.6,12.0,i5-10600k-4.1ghz-12m-1200-no-fan-box,2.0,0.0,12.0,1.0,19199,128.0,64.0
