Название,Цена,Рейтинг,Количество отзывов,Страна,Гарантия,Операционная система,Потребляемая мощность,Диагональ,Технология,Разрешение экрана,Поддержка HDR,Воспроизведение видео через USB,Smart TV,Управление,Таймер выключения,Часы,Защита от детей,Телетекст,Функция TimeShift,Запись телепередач (PVR),Разъем для модуля DVB CAM (слот CI),Стандарт VESA,Смартфон в качестве пульта ДУ,Пульт ДУ,Технология HDMI ARC,Цифровое шумоподавление,Поддерживаемые цифровые стандарты,Тип звуковой системы,Суммарная мощность,Композитный вход,Аудиовход RCA,Компонентный,Аудиовыход RCA,HDMI,Версия HDMI,Вход для ПК,Коаксиальный аудиовыход,Оптический аудиовыход,Оптический аудиовход,Выход для наушников,USB,Количество разъемов USB,Ethernet (LAN),Bluetooth,Wi-Fi,Вход 3.5 мм аудио,Вход 3.5 мм аудио/видео,Выход 3.5 мм аудио,Выход 3.5 мм аудио/видео,Подставка,Высота с подставкой,Ширина с подставкой,Глубина с подставкой,Высота,Ширина,Глубина,Вес с подставкой,Вес без подставки,Цвет,Версия ОС на начало продаж,Частота обновления,Технологии улучшения изображения,Масштабирование,Цветовая система,Мощность,Технологии улучшения звука,Вес,Формат,Модель процессора,NFC,Тип матрицы,Тип светодиодной подсветки,Угол обзора по вертикали,Угол обзора по горизонтали,Список программ,Гид по программам,eARC,Количество ядер процессора,Кол-во встроенных динамиков,Акустическая схема,Яркость,Контрастность,Время отклика,Поддерживаемые форматы,Объемное звучание,Антибликовое покрытие,Интерьерный режим,Батарейки для пульта ДУ,Родительский контроль,Мощность сабвуфера
Характеристики Haier 55 Smart TV S7 DH1VMED01RU,59 999 р.,,,Китай,1 год,Android TV,250 Вт,"55"" (139.7 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,Есть,,Есть,,Есть,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ","Dolby Atmos, dbx-tv, Simulated Surround Sound",26 Вт,Есть,Есть,,Есть,4 ,2.1,,,Есть,Есть,Есть,Есть ,2,Есть ,Есть,Есть ,1,1,1,1,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) OLED телевизор 65"" Grundig 65 GOB 9290",199 999 р.,5,10,Турция,1 год,Android TV,140 Вт,"65"" (165.1 см) ",OLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,,,Есть,Есть,Есть,Есть,"DVB-S, DVB-C2, DVB-T2 ",Dolby Atmos,,,,,,3 ,2.1,,,,,,Есть ,2,,Есть,Есть ,,,,,Есть ,90 см,144.9 см,35.2 см,,,,,,,Android 11.0,60 Гц ,UHD 4K 1000,Есть,"PAL, SECAM",20 Вт,Dolby Vision,31 кг,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 43"" Samsung QE43LS05TAU",69 999 р.,5,1,Вьетнам,1 год,Tizen,125 Вт,"43"" (109.2 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,Есть ,Есть,Есть,Есть,,Есть,Есть,Есть,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital Plus,,,,,,3 ,2.0,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,,60 Гц ,,Есть,"PAL, SECAM",40 Вт,,,16:9,Квантовый процессор 4K,Есть,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" LG 65UQ91009LD",79 999 р.,5,3,Китай,1 год,WebOS,,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,Есть ,,,Есть,,,,,,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound Pro,,,,,,3 ,2.0,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,,60 Гц ,,Есть,,20 Вт,,,16:9,,Есть,IPS,Direct LED,178 °,178 ° ,Есть,Есть,Есть,4,2 ,2.0,,,,,,,,,,
"Ultra HD (4K) LED телевизор 75"" Artel A75LU6500",139 999 р.,5,2,Узбекистан,1 год,Android TV,225 Вт,"75"" (190.5 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Vision&Dolby Atmos,,Есть,,,,3 ,"2.0, 1.4",,,Есть,,Есть,,,,,,,,,,,,,,,,,,,,11,60 Гц ,,Есть,"PAL, SECAM",24 Вт,,,16:9,,,,,178 °,178 ° ,,,,,2 ,,400 кд/м² ,5000:1,6.5 мс,"MP3, AVI, DivX, MKV, JPEG, WMA",Есть,,,,,
"Ultra HD (4K) QLED телевизор 43"" Samsung The Frame QE43LS03BAU",74 299 р.,5,3,Вьетнам,1 год,Tizen,92 Вт,"43"" (109.2 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,Есть ,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital Plus,,,,,,4 ,2.0,,,Есть,,,Есть ,2,Есть ,Есть,,,,,,,,,,,,,,,,,60 Гц ,Quantum Processor 4K 3000,Есть,"PAL, SECAM",20 Вт,,,16:9,,,,,,,Есть,,Есть,,2 ,2.0,,,,,,Есть,Есть,,,
"Ultra HD (4K) QNED телевизор 55"" LG 55QNED7S6QA",76 799 р.,5,3,Китай,1 год,WebOS,154 Вт,"55"" (139.7 см) ",QNED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,,Голосом ,,,,,,,Есть,400x400 ,Есть,Есть,,,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,20 Вт,,,,,4 ,2.0,,,,,,Есть ,1,Есть ,Есть,Есть ,,,,,Есть ,75.4 см,122.7 см,33.6 см,,,,,,Черный ,,60 Гц ,,Есть,,,,,16:9,,,IPS,,,,,,Есть,,2 ,2.0,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Samsung UE65BU8500U",88 499 р.,5,2,Россия,1 год,Tizen,118 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,,,Есть,400x300 ,,Есть,,,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital Plus,,,,,,3 ,2.0,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,89.75 см,145.17 см,29.02 см,,,,,,,,50 Гц ,,,,2 x 10 Вт,,,16:9,Crystal Processor 4K,,,,,,,Есть,,,2 ,2.0,,,,,,,,Есть,,
"Ultra HD (4K) Neo QLED телевизор 65"" Samsung QE65QN90BAU",199 999 р.,5,2,Россия,1 год,Tizen,212 Вт,"65"" (165.1 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,,Есть ,Голосом ,Есть,,Есть,Есть ,Есть,Есть,Есть,400x300 ,Есть,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Audio,,,,,,4 ,2.1,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,89.14 см,144.63 см,,,,,,,,,100 Гц ,Neo Quantum Processor 4K 4600,Есть,,60 Вт,,,,,,,,,,,Есть,,,,,,,,,,,,,,
"Ultra HD (4K) Neo QLED телевизор 75"" Samsung QE75QN85BAU",249 999 р.,5,3,Россия,1 год,Tizen,167 Вт,"75"" (190.5 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,,Есть ,Голосом ,Есть,,Есть,Есть ,Есть,Есть,Есть,400x400 ,Есть,,Есть,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Audio,60 Вт,,,,,4 ,2.1,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,101.98 см,167 см,31.35 см,,,,,,,,100 Гц ,,,,,,,16:9,Neo Quantum Processor 4K,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" LG 50UR78006LK",49 999 р.,0,0,Польша,1 год,WebOS,125 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,,Есть,,,,Есть,200x200 ,Есть,,Есть,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",AI Sound,,,,,,3 ,2.0,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,71.6 см,112.1 см,23 см,,,,,11.7 кг,Черный ,,60 Гц ,,,,20 Вт,,11.8 кг,16:9,,,,,,,,,,,2 ,,,,,,,,,,,
"Ultra HD (4K) OLED телевизор 65"" LG OLED65C14LB",169 999 р.,5,2,Россия,1 год,WebOS,130 Вт,"65"" (165.1 см) ",OLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,,,Есть,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",OLED Surround,40 Вт,,,,,4 ,2.1,,,Есть,,Есть,Есть ,3,Есть ,Есть,Есть ,,,,,,,,,,,,,,,6.0,120 Гц ,,Есть,,2х10 Вт,,,16:9,,,,,,,,,Есть,4,,2.2,,,,,,,,,Есть,20 Вт
"Ultra HD (4K) LED телевизор 43"" Samsung UE43CU7100U",39 999 р.,5,3,Вьетнам,1 год,Tizen,70 Вт,"43"" (109.2 см) ",Crystal UHD ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,,Есть,Есть ,,,Есть,200x200 ,Есть,Есть,Есть,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital Plus,20 Вт,,,,,3 ,,,,Есть,,,Есть ,1,Есть ,Есть,Есть ,,,,,Есть ,62.8 см,96.4 см,19.3 см,55.9 см,96.4 см,5.96 см,,,,,60 Гц ,,,,,,,,Crystal 4K,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 75"" Samsung UE75CU7100U",117 999 р.,5,4,Вьетнам,1 год,Tizen,134 Вт,"75"" (190.5 см) ",Crystal UHD ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,,Есть,Есть ,,,Есть,400x400 ,Есть,Есть,Есть,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital Plus,20 Вт,,,,,3 ,,,,Есть,,,Есть ,1,Есть ,Есть,Есть ,,,,,Есть ,104.8 см,167.3 см,34.1 см,95.8 см,167.3 см,5.99 см,,,,,60 Гц ,,,,,,,,Crystal 4K,,,,,,,,,,,,,,,,,,,,,
