link,Рейтинг,Количество отзывов,Название,Цена,Страна,Гарантия,Семейство,Сокет,Ядро,Количество ядер,Количество потоков,Тактовая частота,Максимальная тактовая частота,Техпроцесс,Тип поставки,Объем кэша L2,Объем кэша L3,Интегрированное графическое ядро,Графическое ядро,Частота графического ядра,Максимальная частота графического ядра,Тип поддерживаемой памяти,Поддерживаемые стандарты памяти,Количество каналов памяти,Максимальный объем памяти,Максимальная пропускная способность памяти,Поддерживаемые инструкции,Тепловыделение,Максимальная рабочая температура,Высота,Ширина,Максимальный объем видеопамяти,Объем кэша L1,Глубина,Разблокированный множитель,Поддержка памяти ECC,Коэффициент умножения,Технологии,Вес,Дополнительная информация,Unnamed: 41,Кулер,Минимальное напряжение питания,Максимальное напряжение питания
https://www.eldorado.ru/cat/detail/protsessor-intel-i5-11600k-3-9ghz-box/,0.0,0.0,Процессор Intel Core i5-11600K 3.9GHz Box,19 499 р.,Китай,1 год,Intel Core i5,LGA1200,Rocket Lake,6.0,12.0,3.9 ГГц,4.9 ГГц,14 нм,BOX,3 МБ,12 МБ,Есть,Intel UHD Graphics 750,350 МГц,1300 МГц,DDR4,PC4-25600 (DDR4 3200 МГц),2.0,128 ГБ,50 Гбит/с,"SSE4.1, SSE4.2, AES",125 Вт,100 ˚С,37.5 мм,37.5 мм,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-i3-10100-4-30ghz-box/,0.0,0.0,Процессор Intel Core i3-10100 4.30GHz Box,10 399 р.,Китай,1 год,Intel Core i3,LGA1200,Comet Lake,4.0,8.0,3.6 ГГц,4.3 ГГц,14 нм,BOX,1 МБ,6 МБ,Есть,Intel UHD Graphics 630,350 МГц,1100 МГц,DDR4,PC4-21300 (DDR4 2666 МГц),2.0,128 ГБ,41.6 Гбит/с,"SSE4.1, SSE4.2, AES",65 Вт,100 ˚С,37.5 мм,37.5 мм,64 ГБ,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i3-10100-bx8070110100srh3n/,0.0,0.0,Процессор Intel Core i3-10100 (BX8070110100SRH3N),11 499 р.,Китай,3 года,Intel Core i3,LGA1200,Comet Lake,4.0,8.0,3.6 ГГц,4.3 ГГц,14 нм,BOX,1.5 МБ,6 МБ,Есть,Intel UHD Graphics 630,350 МГц,1100 МГц,DDR4,PC4-21300 (DDR4 2666 МГц),2.0,128 ГБ,41.6 Гбит/с,,65 Вт,100 ˚С,,37.5 мм,64 ГБ,64 КБ,37.5 мм,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-celeron-g5925-s1200-3-6g-bx80701g5925-s-rk26/,0.0,0.0,Процессор Intel Celeron G5925 S1200 3.6G (BX80701G5925 S RK26),5 699 р.,Вьетнам,3 года,Intel Celeron,LGA1200,Comet Lake,2.0,2.0,3.6 ГГц,,14 нм,BOX,0.5 МБ,4 МБ,Есть,Intel UHD Graphics 610,350 МГц,1050 МГц,DDR4,PC4-21300 (DDR4 2666 МГц),2.0,128 ГБ,,,58 Вт,100 ˚С,,,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-i7-11700-2-5-ghz/,0.0,0.0,Процессор Intel i7 11700 2.5 GHz,32 999 р.,Китай,1 год,Intel Core i7,LGA1200,Rocket Lake,8.0,16.0,2.5 ГГц,4.9 ГГц,14 нм,BOX,4 МБ,16 МБ,Есть,Intel UHD Graphics 750,350 МГц,1300 МГц,DDR4,PC4-25600 (DDR4 3200 МГц),2.0,128 ГБ,50 Гбит/с,"SSE4.1, SSE4.2, AES",65 Вт,100 ˚С,37.5 мм,37.5 мм,64 ГБ,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-i7-11700f-4-9-ghz/,0.0,0.0,Процессор Intel i7-11700F 4.9 GHz,25 999 р.,Китай,1 год,Intel Core i7,LGA1200,Rocket Lake,8.0,16.0,2.5 ГГц,4.9 ГГц,14 нм,BOX,4 МБ,16 МБ,,,,,DDR4,PC4-25600 (DDR4 3200 МГц),2.0,128 ГБ,50 Гбит/с,"SSE4.1, SSE4.2, AES",65 Вт,100 ˚С,37.5 мм,37.5 мм,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-i7-12700kf-4-9ghz/,0.0,0.0,Процессор Intel i7 12700KF 4.9GHz,34 999 р.,Китай,1 год,Intel Core i7,LGA1700,Alder Lake,12,20,2.7 ГГц,5 ГГц,10 нм,BOX,12 МБ,25 МБ,,,,,"DDR5, DDR4","PC5-38400 (DDR5 4800 МГц), PC4-25600 (DDR4 3200 МГц)",2,128 ГБ,76.8 Гбит/с,"SSE4.1, SSE4.2, AES",,100 ˚С,37.5 мм,45 мм,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-a6-9500e-am4-oem-ad9500ahm23ab/,,,Процессор AMD A6 9500E AM4 OEM (AD9500AHM23AB),0,Малайзия,1 год,AMD A6,AM4,Bristol Ridge,2,2,3 ГГц,3.4 ГГц,28 нм,OEM,1 МБ,,Есть,AMD Radeon R5,800 МГц,,DDR4,,2,,,,35 Вт,,,,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-athlon-x2-450-fm2-oem-ad450xybi23ja/,,,Процессор AMD Athlon X2 450 FM2+ OEM (AD450XYBI23JA),0,Малайзия,1 год,AMD Athlon,FM2+,Kaveri,2,2,3.5 ГГц,3.9 ГГц,28 нм,OEM,1 МБ,,,,,,,,,,,,65 Вт,,,,,128 КБ,,Есть,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-sore-i5-12400-s1700-2-5g-bx8071512400-s-rl4v/,,,Процессор Intel Core i5-12400 S1700 2.5G (BX8071512400 S RL4V),14 999 р.,Вьетнам,3 года,Intel Core i5,,,6,,2.5 ГГц,4.4 ГГц,,BOX,7.5 МБ,18 МБ,Есть,,,,DDR4,,2,128 ГБ,,,117 Вт,,,,,,,,,,,,,,,,
