Название,Цена,Рейтинг,Количество отзывов,Страна,Гарантия,Операционная система,Потребляемая мощность,Диагональ,Технология,Разрешение экрана,Поддержка HDR,Воспроизведение видео через USB,Smart TV,Управление,Таймер выключения,Часы,Защита от детей,Телетекст,Функция TimeShift,Запись телепередач (PVR),Разъем для модуля DVB CAM (слот CI),Стандарт VESA,Смартфон в качестве пульта ДУ,Пульт ДУ,Технология HDMI ARC,Цифровое шумоподавление,Поддерживаемые цифровые стандарты,Тип звуковой системы,Суммарная мощность,Композитный вход,Аудиовход RCA,Компонентный,Аудиовыход RCA,HDMI,Версия HDMI,Вход для ПК,Коаксиальный аудиовыход,Оптический аудиовыход,Оптический аудиовход,Выход для наушников,USB,Количество разъемов USB,Ethernet (LAN),Bluetooth,Wi-Fi,Вход 3.5 мм аудио,Вход 3.5 мм аудио/видео,Выход 3.5 мм аудио,Выход 3.5 мм аудио/видео,Подставка,Высота с подставкой,Ширина с подставкой,Глубина с подставкой,Высота,Ширина,Глубина,Вес с подставкой,Вес без подставки,Цвет,Формат,Цветовая система,Кол-во встроенных динамиков,Мощность,Вес,Тип светодиодной подсветки,Частота обновления,Таймер включения,eARC,Поддерживаемые форматы,Объем встроенной памяти,Акустическая схема,Батарейки для пульта ДУ,Количество ядер процессора,Объемное звучание,Тип матрицы,Угол обзора по вертикали,Угол обзора по горизонтали,Русифицированное меню,Гид по программам,Родительский контроль,Масштабирование,Модель процессора,Яркость,Динамическая контрастность,Время отклика,Количество тюнеров,Чтение карт памяти,Контрастность,Объем оперативной памяти,VGA (D-Sub),Коаксиальный аудиовход,Версия ОС на начало продаж,Любимые каналы,Технологии улучшения изображения,Эквалайзер,Производитель процессора,Автоматическая регулировка громкости,NFC,Композитный выход,Слот для карт памяти,Технологии улучшения звука,Картинка в картинке (PIP),Встроенный DVD-плеер,Встроенный сабвуфер,Мощность сабвуфера,Подсветка Ambilight,Изогнутый экран,Прогрессивная развертка,Изменение формата,Регулировка контрастности,Предустановки изображения,Автоматическая настройка,SCART,Гребенчатый фильтр,Частота процессора,Список программ,Антибликовое покрытие,Дополнительная информация,Поддержка 3D,Количество каналов,Ручная настройка,Встроенное радио
,,,,Беларусь,1 год,,,"24"" (61 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,,Есть,Есть ,Есть,Есть ,,,Есть,100x100 ,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Digital Plus,,,Есть,Есть,,1.0,1.4,Есть,Есть,,,Есть,,1.0,,,,,,,,Есть ,,,,37.5 см,56 см,16 см,,,Черный ,16:9,"PAL, SECAM",2.0,2x3 Вт,2.5 кг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Sony KD-65X75K",87 990 р.,0.0,0.0,Вьетнам,1 год,Android TV,135 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,Есть,,Есть,,Есть,Есть,"DVB-T, DVB-T2 ",Dolby Atmos,,Есть,,,,3.0,,,,,,,Есть ,2.0,Есть ,Есть,Есть ,1.0,,,,,,,,,,,,,,16:9,,2.0,20 Вт,,Direct LED,60 Гц ,Есть,Есть,"AVI, MKV, WMA",16 ГБ,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Sharp 4T-C65DL6",62 990 р.,0.0,0.0,Египет,1 год,Android TV,224 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,Есть,,,Есть,,Есть,"DVB-T, DVB-T2 ",Dolby Audio,,,,,,3.0,2.0,,,,,,Есть ,2.0,Есть ,Есть,Есть ,1.0,,,,Есть ,92 см,146.2 см,30 см,,,,,,,16:9,"NTSC, PAL, SECAM",2.0,20 Вт,,Direct LED,60 Гц ,,,"MP3, AVI, MKV, WMA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Sony KD-65X7500H",77 990 р.,0.0,0.0,Малайзия,1 год,Android TV,135 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,Есть,Есть,Есть,300x300 ,,Есть,Есть,,"DVB-T, DVB-T2 ",Dolby Atmos,20 Вт,,,,,3.0,,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,90.5 см,,,,,,,,,16:9,,2.0,2х10 Вт,,Direct LED,60 Гц ,,,,16 ГБ,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" LG 43UR81009LK",49 990 р.,0.0,0.0,Польша,1 год,WebOS,110 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,Есть,Есть,Есть,200x200 ,Есть,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,20 Вт,,,,,3.0,,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,,,2.0,2х10 Вт,,Direct LED,60 Гц ,,,,,,Есть,4.0,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" LG 43UR78006LK",44 990 р.,0.0,0.0,Польша,1 год,WebOS,115 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,,200x200 ,,Есть,,Есть,"DVB-S, DVB-T, DVB-S2, DVB-T2 ",,20 Вт,,,,,3.0,,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,62.1 см,96.7 см,20 см,56.4 см,96.7 см,5.8 см,,,,16:9,,2.0,2х10 Вт,,Direct LED,60 Гц ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" LG 43UQ81006LB",39 390 р.,0.0,0.0,Польша,1 год,WebOS,100 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,,,Есть,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,20 Вт,,,,,2.0,,,,,,Есть,Есть ,1.0,Есть ,,,,,,,,,,,,,,,,,,"PAL, SECAM",2.0,2х10 Вт,,Direct LED,60 Гц ,Есть,,,,2.0,,4.0,Есть,IPS,178 °,178 ° ,Есть,Есть,Есть,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" LG 43UR91006LA",52 990 р.,0.0,0.0,Польша,1 год,WebOS,88 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,,,,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,20 Вт,,,,,3.0,2.0,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,,2.0,2х10 Вт,,Direct LED,60 Гц ,Есть,,,,,,4.0,,IPS,178 °,178 ° ,Есть,,,Есть,α 5 Gen 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" LG 43UQ75006LF",30 990 р.,0.0,0.0,Польша,1 год,WebOS,100 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,Есть,Есть,,,,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Digital,20 Вт,Есть,,,,2.0,,,,Есть,,Есть,Есть ,1.0,Есть ,Есть,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2.0,2х10 Вт,,Direct LED,60 Гц ,,Есть,,,2.0,,4.0,,,,,Есть,Есть,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" LG 43UR81006LJ",49 990 р.,0.0,0.0,Польша,1 год,WebOS,110 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,,,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,20 Вт,,,,,3.0,2.1,,,,Есть,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,62.9 см,96.7 см,24.9 см,,,,,,,16:9,,2.0,2х10 Вт,,Direct LED,60 Гц ,,,,,,,,,,178 °,178 ° ,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
