Название,Рейтинг,Количество отзывов,Цена,link,Страна,Гарантия,Игровой системный блок,Операционная система,Производитель процессора,Модель процессора,Тактовая частота,Максимальная тактовая частота,Количество ядер,Кэш L3,Объем оперативной памяти,Максимальный объем,Тип оперативной памяти,Частота памяти,Слоты для оперативной памяти,Тип накопителя,Объем накопителя,Тип видеокарты,Производитель видеокарты,Модель видеокарты,Объем видеопамяти,Тип видеопамяти,LAN-адаптер,VGA (D-Sub),DVI,HDMI,DisplayPort,USB 2.0,USB 3.0,LAN разъем (RJ-45),Фронтальный разъем для наушников/микрофона 3.5мм,Типоразмер корпуса,Подсветка корпуса,Мощность блока питания,Высота,Ширина,Глубина,Вес,Цвет,USB,Разъем для наушников,Тип оптического привода,Bluetooth-адаптер,Wi-Fi,Стандарт Wi-Fi,USB 3.0 (Type-C),Размещение,Объем первого накопителя,Объем второго накопителя,Line-In,Фронтальный разъем для наушников 3.5мм,Кэш L2,Разъем для наушников/микрофона,USB 3.1,USB 3.1 (Type-C),Разъем для микрофона,Материал корпуса,Фронтальный разъем для микрофона 3.5мм,Дополнительная информация,Картридер,Интерфейс подключения,Скорость вращения шпинделя,Кабель питания,Тип вилки,PS/2,Производитель чипсета,Модель чипсета,Количество ядер графического процессора,Thunderbolt/USB 4,USB 3.2,Звуковая карта,Speaker-Out,Thunderbolt 3,Toslink,USB 3.2 (Type-C),Клавиатура,Мышь,Последовательный порт RS-232,Разрядность
Игровой компьютер Thunderobot Alpha D i5-12400/16GB/SSD512/GTX1650/DOS,5.0,19.0,59 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-thunderobot-alpha-d-i5-12400-16gb-ssd512-gtx1650-dos/,Китай,1 год,Есть ,Нет ,Intel ,Core i5-12400,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,32 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,4 ГБ,GDDR6,1000/100/10 Мбит/с,Есть,Есть,1 шт.,1,6 шт.,3 шт.,1 шт.,Есть,Midi-Tower ,Есть,300 Вт,44 см,20 см,33.5 см,5.84 кг,Черный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Thunderobot BW III Pro XL D i5-12400/32G/SSD512G/RTX3060/noOS,5.0,14.0,99 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-thunderobot-bw-iii-pro-xl-d-i5-12400-32g-ssd512g-rtx3060-noos/,Китай,1 год,Есть ,FreeDOS ,Intel ,Core i5-12400,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,Есть,,2 шт.,3,5 шт.,,1 шт.,Есть,,Есть,600 Вт,51 см,21 см,52 см,11.4 кг,Черный,5 шт.,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер ASUS ROG G15 Tower DT G15DK-R5600X0040,5.0,12.0,111 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-asus-rog-g15-tower-dt-g15dk-r5600x0040/,Китай,1 год,Есть ,Нет ,AMD ,Ryzen 5 5600X,3.7 ГГц ,4.6 ГГц,6 ,32 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,RTX 3070,8 ГБ,GDDR6,1000/100/10 Мбит/с,Есть,Есть,2 шт.,3,,5 шт.,1 шт.,Есть,Midi-Tower ,Есть,,49.8 см,18.5 см,42.1 см,11 кг,Черный,,,Нет ,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",1 шт.,Вертикальное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер MUST MBM114003070,5.0,3.0,129 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-must-mbm114003070/,Россия,6 месяцев,,Нет ,Intel ,Core i5-11400F,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,16 ГБ ,32 ГБ,DDR4,2666 МГц,2 шт.,SSD ,1.5 ТБ ,Дискретная ,NVIDIA ,3070 Ti,8 ГБ,GDDR6,1000/100/10 Мбит/с,,Есть,1 шт.,,4 шт.,5 шт.,1 шт.,,Midi-Tower ,,800 Вт,44.6 см,20.4 см,39.6 см,8.5 кг,Черный,,,,,,,,Вертикальное,1 ТБ,500 ГБ,1,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер iRU 310H5GE i3 10105/16GB/SSD 512GB/GTX1650/DOS (1839963),5.0,9.0,45 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-iru-310h5ge-i3-10105-16gb-ssd-512gb-gtx1650-dos-1839963/,Россия,3 года,Есть ,Нет ,Intel ,Core i3-10105,3.7 ГГц ,4.4 ГГц,4 ,,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,4 ГБ,GDDR6,1000/100/10 Мбит/с,Есть,,1 шт.,,4 шт.,,1 шт.,,Midi-Tower ,,500 Вт,,,,7 кг,Черный,,,Нет ,,,,2 шт.,,,,,,6 МБ,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер MUST MBM3600110722,5.0,10.0,54 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-must-mbm3600110722/,Россия,6 месяцев,Есть ,Нет ,AMD ,Ryzen 5 Pro 3600,3.6 ГГц ,4.2 ГГц,6 ,32 МБ,16 ГБ ,32 ГБ,DDR4,3200 МГц,2 шт.,HDD+SSD ,1.5 ТБ ,Дискретная ,NVIDIA ,GTX 1650,4 ГБ,GDDR6,1000/100/10 Мбит/с,,Есть,1 шт.,,4 шт.,5 шт.,1 шт.,Есть,Midi-Tower ,,500 Вт,47.9 см,20.4 см,44.5 см,8.5 кг,Черный,,,,,,,,,1 ТБ,512 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Acer Predator Orion 3000 PO3-630 (DG.E2CMC.003),5.0,5.0,112 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-acer-po3-630-i5-11400f-16gb-ssd-512gb-2tb-rtx3070/,Китай,1 год,Есть ,Нет ,Intel ,Core i5-11400F,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,4 шт.,HDD+SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3070,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,3,4 шт.,3 шт.,1 шт.,Есть,,Есть,700 Вт,34 см,16 см,35 см,7.4 кг,Черный,7 шт.,,,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11ax, IEEE 802.11n",2 шт.,Вертикальное,512 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Acer Nitro 50 N50-640 (DG.E2VER.003),5.0,13.0,99 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-acer-nitro-50-n50-640-dg-e2ver-003/,Китай,1 год,,Windows 11 Домашняя ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1 ТБ ,Дискретная ,NVIDIA ,RTX 3060 Ti,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,Midi-Tower ,,,34 см,16.3 см,35 см,7.4 кг,Черный,,,,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11ax, IEEE 802.11n",1 шт.,Вертикальное,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Acer Aspire TC-1660 DG.BGZER.00L,5.0,14.0,54 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-acer-aspire-tc-1660-dg-bgzer-00l/,Китай,1 год,Есть ,Windows 10 Домашняя x64 ,Intel ,Core i5-11400F,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,8 ГБ ,32 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,4 ГБ,GDDR5,1000/100/10 Мбит/с,,,2 шт.,,4 шт.,2 шт.,1 шт.,Есть,Full-Tower ,,500 Вт,34 см,16.3 см,35 см,7.4 кг,Черный,,,Нет ,,,,,Вертикальное,,,,,,,1 шт.,1 шт.,Есть,Пластик,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Acer TC-1660 (DG.BGZER.010),4.0,12.0,54 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-acer-tc-1660-dg-bgzer-010/,Китай,1 год,,Windows 11 Домашняя ,Intel ,Core i5-11400F,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,8 ГБ ,32 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GTX 1650,4 ГБ,GDDR5,1000/100/10 Мбит/с,,,2 шт.,,4 шт.,,1 шт.,Есть,,,300 Вт,35 см,16.3 см,34 см,10 кг,Черный,,,,,,,,,,,,,,,3 шт.,1 шт.,,,Есть,Коррекция фактора мощности (PFC),,,,,,,,,,,,,,,,,,,,
