Название,Рейтинг,Количество отзывов,Цена,,Страна,Гарантия,Операционная система,Производитель процессора,Модель процессора,Тактовая частота,Максимальная тактовая частота,Количество ядер,Кэш L3,Производитель чипсета,Модель чипсета,Объем оперативной памяти,Максимальный объем,Тип оперативной памяти,Частота памяти,Слоты для оперативной памяти,Тип накопителя,Объем накопителя,Тип видеокарты,Производитель видеокарты,Модель видеокарты,Тип видеопамяти,Тип оптического привода,LAN-адаптер,DVI,HDMI,USB 2.0,USB 3.0,LAN разъем (RJ-45),Line-In,Фронтальный разъем для наушников/микрофона 3.5мм,Подсветка корпуса,Размещение,Мощность блока питания,Высота,Ширина,Глубина,Вес,Цвет,Wi-Fi,Стандарт Wi-Fi,Объем первого накопителя,Объем второго накопителя,Игровой системный блок,Объем видеопамяти,DisplayPort,Типоразмер корпуса,Материал корпуса,Интерфейс подключения,USB 3.0 (Type-C),Разъем для наушников,Кабель питания,Разъем для наушников/микрофона,Bluetooth-адаптер,Картридер,VGA (D-Sub),USB 3.1,Разъем для микрофона,USB 3.2,Дополнительная информация,Фронтальный разъем для наушников 3.5мм,USB,Кэш L2,Количество ядер графического процессора,Thunderbolt/USB 4,PS/2,USB 3.1 (Type-C),Фронтальный разъем для микрофона 3.5мм,Звуковая карта,Speaker-Out,Thunderbolt 3,Toslink
Компьютер Robotcomp Аллигатор 2.0 V2,0.0,0.0,36 590 р.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 2.0 V2 Plus,0.0,0.0,42 190 р.,,Россия,3 года,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,AMD,B450М,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,SMA,Нет ,1000/100/10 Мбит/с,Есть,1 шт.,6 шт.,6 шт.,1 шт.,1,Есть,Есть,Вертикальное,500 Вт,44 см,19 см,40 см,9 кг,Черный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 2.0 V3,0.0,0.0,41 890 р.,,Россия,3 года,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,AMD,B450М,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,SMA,Нет ,1000/100/10 Мбит/с,Есть,1 шт.,6 шт.,6 шт.,1 шт.,1,Есть,Есть,Вертикальное,500 Вт,44 см,19 см,40 см,9 кг,Черный,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 2.0 V3 Plus,0.0,0.0,47 490 р.,,Россия,3 года,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,AMD,B450М,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,SMA,Нет ,1000/100/10 Мбит/с,Есть,1 шт.,6 шт.,6 шт.,1 шт.,1,Есть,Есть,Вертикальное,500 Вт,44 см,19 см,40 см,9 кг,Черный,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 3.0,0.0,0.0,44 390 р.,,Россия,3 года,FreeDOS ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,AMD,B450М,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1.48 ТБ ,Интегрированная ,AMD ,AMD Radeon Graphics,SMA,Нет ,1000/100/10 Мбит/с,Есть,1 шт.,6 шт.,6 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,44 см,19 см,40 см,9 кг,Черный,,,1 ТБ,480 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 3.0 Plus,0.0,0.0,55 690 р.,,Россия,3 года,FreeDOS ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,AMD,B450М,64 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1.48 ТБ ,Интегрированная ,AMD ,AMD Radeon Graphics,SMA,Нет ,1000/100/10 Мбит/с,Есть,1 шт.,6 шт.,6 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,44 см,19 см,40 см,9 кг,Черный,,,1 ТБ,480 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 3.0 V2,0.0,0.0,48 190 р.,,Россия,3 года,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,AMD,B450М,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1.480 ТБ ,Интегрированная ,AMD ,AMD Radeon Graphics,SMA,Нет ,1000/100/10 Мбит/с,Есть,1 шт.,6 шт.,6 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,44 см,19 см,40 см,9 кг,Черный,,,1 ТБ,480 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 3.0 V2 Plus,0.0,0.0,59 390 р.,,Россия,3 года,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,AMD,B450М,64 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1.480 ТБ ,Интегрированная ,AMD ,AMD Radeon Graphics,SMA,Нет ,1000/100/10 Мбит/с,Есть,1 шт.,6 шт.,6 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,44 см,19 см,40 см,9 кг,Черный,,,1 ТБ,480 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 3.0 V3,0.0,0.0,53 490 р.,,Россия,3 года,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,AMD,B450М,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1.480 ТБ ,Интегрированная ,AMD ,AMD Radeon Graphics,SMA,Нет ,1000/100/10 Мбит/с,Есть,1 шт.,6 шт.,6 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,44 см,19 см,40 см,9 кг,Черный,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",1 ТБ,480 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 3.0 V3 Plus,0.0,0.0,64 690 р.,,Россия,3 года,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,AMD,B450М,64 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1.480 ТБ ,Интегрированная ,AMD ,AMD Radeon Graphics,SMA,Нет ,1000/100/10 Мбит/с,Есть,1 шт.,6 шт.,6 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,44 см,19 см,40 см,9 кг,Черный,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",1 ТБ,480 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 2.0 White,0.0,0.0,32 690 р.,,Россия,3 года,FreeDOS ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,AMD,B450М,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,SMA,Нет ,1000/100/10 Мбит/с,Есть,1 шт.,6 шт.,6 шт.,1 шт.,1,Есть,Есть,Вертикальное,500 Вт,44 см,19 см,40 см,9 кг,Белый,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 2.0 Plus White,0.0,0.0,39 990 р.,,Россия,3 года,FreeDOS ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,AMD,B450М,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,SMA,Нет ,1000/100/10 Мбит/с,Есть,1 шт.,6 шт.,6 шт.,1 шт.,1,Есть,Есть,Вертикальное,500 Вт,44 см,19 см,40 см,9 кг,Белый,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 2.0 V2 White,0.0,0.0,36 590 р.,,Россия,3 года,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,AMD,B450М,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,SMA,Нет ,1000/100/10 Мбит/с,Есть,1 шт.,6 шт.,6 шт.,1 шт.,1,Есть,Есть,Вертикальное,500 Вт,44 см,19 см,40 см,9 кг,Белый,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 2.0 Plus V2 White,0.0,0.0,42 190 р.,,Россия,3 года,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,AMD,B450М,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,SMA,Нет ,1000/100/10 Мбит/с,Есть,1 шт.,6 шт.,6 шт.,1 шт.,1,Есть,Есть,Вертикальное,500 Вт,44 см,19 см,40 см,9 кг,Белый,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 2.0 V3 White,0.0,0.0,41 890 р.,,Россия,3 года,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,AMD,B450М,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,SMA,Нет ,1000/100/10 Мбит/с,Есть,1 шт.,6 шт.,6 шт.,1 шт.,1,Есть,Есть,Вертикальное,500 Вт,44 см,19 см,40 см,9 кг,Белый,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 2.0 Plus V3 White,0.0,0.0,47 490 р.,,Россия,3 года,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,AMD,B450М,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,SMA,Нет ,1000/100/10 Мбит/с,Есть,1 шт.,6 шт.,6 шт.,1 шт.,1,Есть,Есть,Вертикальное,500 Вт,44 см,19 см,40 см,9 кг,Черный,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 3.0 White,0.0,0.0,44 390 р.,,Россия,3 года,FreeDOS ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,AMD,B450М,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1.48 ТБ ,Интегрированная ,AMD ,AMD Radeon Graphics,SMA,Нет ,1000/100/10 Мбит/с,Есть,1 шт.,6 шт.,6 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,44 см,19 см,40 см,9 кг,Белый,,,1 ТБ,480 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
