Название,Рейтинг,Количество отзывов,Цена,Страна,Гарантия,Тип,Операционная система,Язык клавиатуры,Диагональ экрана,Разрешение экрана,Соотношение сторон,Максимальная частота обновления,Производитель процессора,Модель процессора,Тактовая частота,Максимальная тактовая частота,Количество ядер,Объем оперативной памяти,Тип оперативной памяти,Тип накопителя,Объем накопителя,Тип видеокарты,Производитель видеокарты,Модель видеокарты,Тип оптического привода,Встроенные динамики,Wi-Fi,Bluetooth,Web-камера,HDMI,USB 2.0,USB 3.2,USB 3.2 (Type-C),Разъем для наушников/микрофона,Тип аккумулятора,Емкость,Высота,Ширина,Глубина,Вес,Тип матрицы,Поверхность,Количество потоков,Кэш L3,Максимальный объем,Количество слотов,Частота памяти,Стандарт Wi-Fi,Версия Bluetooth,Картридер,Микрофон,USB 3.0,USB 3.0 (Type-C),USB 3.1 (Type-C),Максимальное время работы,Материал корпуса,Подсветка клавиш,Блок питания,Цвет,Кэш L2,Тип звуковой системы,Количество ячеек,Объем видеопамяти,Ethernet,Mini DisplayPort,USB,USB 3.1,RJ-45,Язык операционной системы,Яркость,Количество ядер графического процессора,Количество динамиков,VGA (D-Sub),DVI,DisplayPort,Thunderbolt 3,Разъем для наушников,Мощность блока питания,Тип вилки,Сканер отпечатков пальцев,Контрастность,Micro USB 2.0,Игровой ноутбук,Дополнительная информация,Mini HDMI,Кабель для зарядки,Угол обзора по вертикали,Угол обзора по горизонтали,Производитель чипсета,Модель чипсета,Интерфейс подключения,Тип видеопамяти,LED-подсветка,Разъем для микрофона,Thunderbolt/USB 4,Мощность динамиков,Объем первого накопителя,Объем второго накопителя,Сенсорный,Частота шины,Разъем Kensington Lock,Сенсорная панель Touch Bar,Чехол,Объем памяти Intel Optane,Платформа Intel Evo,Датчик освещенности,Время отклика,Micro HDMI,USB 2.0 (Type-C),Скорость вращения шпинделя,4G (LTE),
Ноутбук ASUS M1502IA-BQ093,5.0,16.0,46 999 р.,Китай,1 год,Ноутбук ,Без ОС ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,16:9,60 Гц,AMD ,Ryzen 7 4800H,2.9 ГГц,4.2 ГГц,8,16 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,AMD ,Radeon Graphics,Отсутствует ,Есть,Есть ,Есть ,Есть,Есть ,1.0,2.0,1.0,Есть,Li-Ion,42 Вт*ч,1.99 см ,35.97 см,23.25 см,1.7 кг ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук Haier i1510SD (JB0B1BE00RU),5.0,6.0,34 999 р.,Китай,1 год,Ноутбук ,Без ОС ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,60 Гц,Intel ,Core i3-1115G4,3 ГГц,4.1 ГГц,2,8 ГБ ,DDR4,SSD ,256 ГБ ,Интегрированная ,Intel ,UHD Graphics,Отсутствует ,Есть,Есть ,Есть ,2.0 Мпикс,Есть ,,,,Есть,,3400 мА*ч,2.2 см ,37.5 см,24.3 см,1.65 кг ,IPS ,Матовая ,4.0,6 МБ,32 ГБ,2.0,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",5.0,"microSDHC, microSD",Есть,2.0,1.0,1.0,7 ч ,Пластик ,Есть ,Есть,Серый ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук ASUS VivoBook 15 M1502I (90NB0Y52-M002R0),5.0,9.0,44 999 р.,Китай,1 год,Ноутбук,Без ОС,"Английский, Русский","15.6""",1920x1080 Пикс,,,AMD,Ryzen 5 4600H,3 ГГц,4 ГГц,6,8 ГБ,DDR4,SSD,512 ГБ,Интегрированная,AMD,Radeon,Отсутствует,,Есть,Есть,1 Мпикс,Есть,1.0,,,,,,1.99 см,35.97 см,23.25 см,1.7 кг,IPS,Матовая,12.0,8 МБ,,,3200 МГц,IEEE 802.11aх,5.0,,,,2.0,,,Пластик,,,Серебристый,3 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук ASUS M515DA-EJ1697,5.0,7.0,41 999 р.,Китай,1 год,Ноутбук ,FreeDOS ,"Английский, Русский","15.6"" ",,,60 Гц,AMD ,Ryzen 5 3500U,2.1 ГГц,3.7 ГГц,4,8 ГБ ,DDR4,SSD ,512 ГБ ,,,,Отсутствует ,Есть,Есть ,Есть ,,Есть ,2.0,1.0,1.0,Есть,Li-Ion,37 Вт*ч,1.99 см ,36 см,23.5 см,1.8 кг ,,,8.0,6 МБ,,,,IEEE 802.11ac,4.1,,Есть,,,,,,,,Серебристый ,,SonicMaster,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой ноутбук Thunderobot 911 Air Wave D (JT009CE09RU),5.0,25.0,64 999 р.,Китай,1 год,Ноутбук ,FreeDOS ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,144 Гц,Intel ,Core i5-11400H,2.7 ГГц,4.5 ГГц,6,8 ГБ ,DDR4,SSD ,256 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3050,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,Есть ,,,,Есть,,,2.39 см ,35.92 см,25.38 см,2.15 кг ,AHVA ,Матовая ,12.0,12 МБ,64 ГБ,2.0,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",5.0,"SD, SDHC, SDXC",Есть,,1.0,,5 ч ,"Металл, Пластик ",Есть ,,Черный ,,Nahimic Audio,,4 ГБ,10/100/1000 Мбит/с,1.0,3.0,2.0,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук Apple MacBook Air 13 M1/8/256GB Space Gray (MGN63),5.0,19.0,91 999 р.,Китай,1 год,Ноутбук ,MacOS ,"Английский, Русский","13.3"" ",2560x1600 Пикс ,,,Apple ,Apple M1,3.2 ГГц,,8,8 ГБ ,,SSD ,256 ГБ ,Интегрированная ,Apple ,Apple M1,Отсутствует ,Есть,Есть ,Есть ,,Есть ,,,,,Li-Pol,,1.61 см ,30.41 см,21.24 см,1.29 кг ,IPS ,,,,8 ГБ,,3200 МГц,IEEE 802.11aх,5.0,,Есть,,,1.0,18 ч ,Алюминий ,Есть ,Есть,Серый ,,Dolby Atmos,,,,,,1.0,,Английский,400 кд/м²,8.0,2.0,Есть,Есть,Есть,2.0,Есть,30 Вт,Американская (Тип A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HUAWEI MateBook D15 BoD-WDH9 i5/8GB/512GB Mystic Silver (53013ERR),5.0,50.0,54 999 р.,Китай,1 год,Ноутбук ,Windows 11 ,,"15.6"" ",1920x1080 Пикс ,,,Intel ,Core i5-1135G7,2.4 ГГц,4.2 ГГц,4,8 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,Intel ,Intel Iris Xe Graphics,Отсутствует ,,Есть ,Есть ,1 Мпикс,Есть ,2.0,1.0,,Есть,,,1.69 см ,35.78 см,22.99 см,1.56 кг ,IPS ,Матовая ,8.0,8 МБ,,,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.1,,,,1.0,,7 ч ,Алюминий ,,,Серебристый ,,,,,,,,,,,,,,,,,,Есть,,,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HUAWEI MateBook D15 i5-1155G7/16/512 Space Gray (BoDE-WFH9),5.0,5.0,62 999 р.,Китай,1 год,Ноутбук ,Windows 11 ,,"15.6"" ",1920x1080 Пикс ,,,Intel ,Core i5-1155G7,2.5 ГГц,4.5 ГГц,4,16 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,Intel ,Iris Xe Graphics,Отсутствует ,,Есть ,Есть ,1 Мпикс,Есть ,2.0,1.0,,Есть,,,1.69 см ,35.78 см,22.99 см,1.56 кг ,IPS ,Матовая ,8.0,8 МБ,,,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.1,,,,1.0,,7 ч ,Алюминий ,,,Серый ,,,,,,,,,,,,,,,,,,Есть,,,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HONOR MagicBook X 15 i5 8+512GB Space Grey (BDR-WDH),5.0,18.0,51 999 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,16:9,60 Гц,Intel ,Core i5-1135G7,2.4 ГГц,4.2 ГГц,4,8 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,Intel ,Iris Xe Graphics,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,Есть ,,,,Есть,,,1.69 см ,35.73 см,22.95 см,1.56 кг ,IPS ,,8.0,8 МБ,,,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",5.0,,Есть,1.0,1.0,,7 ч ,Алюминий ,,Есть,Серебристый ,,,,,,,,,,,,,,,,,,,,,Есть ,800 : 1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой ноутбук MSI Katana GF66 12UE-1084RU,5.0,16.0,109 999 р.,Китай,1 год,Ноутбук ,Windows 11 ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,144 Гц,Intel ,Core i5-12500H,2.5 ГГц,4.5 ГГц,12,16 ГБ ,DDR4,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,Отсутствует ,Есть,Есть ,Есть ,1.0 Мпикс,Есть ,1.0,2.0,1.0,Есть,,4562 мА*ч,2.49 см ,35.9 см,25.9 см,2.25 кг ,IPS-level ,Матовая ,16.0,18 МБ,64 ГБ,2.0,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11g, IEEE 802.11n",5.2,,,,,,5 ч ,Пластик ,Есть ,,Черный ,,Nahimic Audio,,6 ГБ,10/100/1000 Мбит/с,,,,Есть,,,,,,,,,,,Европейская (Тип C),,,,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
