Название,Цена,Количество отзывов,Гарантия,Рейтинг,Длина,Количество поддерживаемых мониторов,OverClock,Рекомендуемая мощность блока
 rtx 3060 pa-rtx3060 dual 12g 12гб gddr6,34150.0,7.0,36.0,3.9,245.0,4.0,0.0,550.0
‌,36240.0,14.0,36.0,3.3,245.0,4.0,1.0,550.0
 gtx 1660super pa-gtx1660super gp 6g 6гб gddr6,25770.0,10.0,36.0,2.9,235.0,3.0,0.0,450.0
 rtx 3060 gv-n3060vision oc-12gd 2.0 lhr 12гб gddr6,41900.0,12.0,36.0,3.3,280.0,4.0,1.0,550.0
 rtx 3060 dual-rtx3060-o12g-v2 lhr 12гб gddr6,43990.0,15.0,36.0,3.8,200.0,4.0,1.0,650.0
 rtx 3070ti pa-rtx3070ti gamingpro 8g 8гб gddr6x,68080.0,1.0,36.0,4.8,294.0,4.0,0.0,700.0
 rtx 3050 rtx 3050 gaming x 8g 8гб gddr6,31420.0,14.0,36.0,3.4,278.0,4.0,0.0,550.0
 rtx 3060ti pa-rtx3060ti dual 8g 8гб gddr6,47130.0,9.0,36.0,2.6,247.0,4.0,0.0,550.0
 rtx 3060ti pa-rtx3060ti dual oc 8g v1 lhr 8гб gddr6,41900.0,1.0,36.0,3.8,247.0,4.0,1.0,550.0
 rtx 2060super pa-rtx2060super dual 8g no led 8гб gddr6,35610.0,21.0,36.0,2.2,235.0,3.0,0.0,550.0
 gtx 1660super pa-gtx1660super gp oc 6g 6гб gddr6,26190.0,13.0,36.0,3.4,235.0,3.0,1.0,450.0
 rtx 3060 rtx 3060 gaming x 12g 12гб gddr6,42520.0,13.0,36.0,4.9,276.0,4.0,0.0,550.0
 rtx 3050 pa-rtx3050 dual 8гб gddr6,30270.0,20.0,36.0,4.1,245.0,4.0,0.0,550.0
 gtx 1650 pa-gtx1650 stormx 4g 4гб gddr5,16440.0,13.0,36.0,3.6,145.0,2.0,0.0,300.0
 rtx 3070 pa-rtx3070 gamingpro 8g 8гб gddr6,57600.0,6.0,36.0,4.1,294.0,4.0,0.0,650.0
