Название,Цена,Количество отзывов,Гарантия,Рейтинг,Длина,Количество поддерживаемых мониторов,OverClock,Рекомендуемая мощность блока
 gt730 pcie16 4gb ddr3 ,7799,19.0,36.0,2.7,152.0,3.0,0.0,300.0
 gt210 pcie16 1gb gddr3 ,2999,2.0,36.0,3.7,157.0,0.0,0.0,300.0
 gt 1030 aero itx 2gd4 oc,12499,7.0,36.0,3.2,102.0,0.0,0.0,300.0
 n730k-2gd3/lp,5299,13.0,36.0,4.3,146.0,0.0,0.0,300.0
 rtx 4060 ti dual 8gb ,42999,6.0,36.0,4.5,249.0,0.0,0.0,650.0
 rtx 4070ti amp extreme airo 12gb ,99999,11.0,24.0,2.0,355.5,4.0,0.0,750.0
 rtx 4060 ti dual oc 8gb ,43999,7.0,36.0,4.8,249.9,0.0,0.0,650.0
 rtx 4060 ti eagle 8g ,44999,17.0,36.0,3.1,272.0,0.0,0.0,500.0
 rtx 4060 ti aero oc 8g ,46799,4.0,36.0,4.1,281.0,0.0,0.0,500.0
 rtx 3080 master 10gb ,82999,13.0,36.0,4.3,319.0,0.0,0.0,750.0
видеокарта gigabyte pcie16 rtx3060ti 8gb lhr ,43999,12.0,36.0,3.1,280.0,0.0,0.0,650.0
 gtx 1650 oc gddr6 128-bit gaming 4gb ,14999,3.0,12.0,3.5,151.0,3.0,0.0,350.0
 gt 730 2gb silent lp ,5299,11.0,36.0,4.3,146.0,0.0,0.0,300.0
rtx2060 dual 6g ,26500,4.0,36.0,2.2,235.0,3.0,0.0,0.0
 rtx 4080 16gb amp extreme airo ,114999,6.0,24.0,3.0,356.0,4.0,0.0,750.0
rtx2060 super dual 8g ,28999,8.0,36.0,2.3,235.0,3.0,0.0,550.0
 rtx 3070 ti suprim x 8g ,109999,15.0,36.0,4.4,335.0,0.0,0.0,850.0
 rtx3090 ichill x4 gddr6 24gb ,119999,2.0,12.0,4.0,300.0,0.0,0.0,750.0
 rtx 4060 ti gaming oc 8g ,0,4.0,36.0,4.6,281.0,0.0,0.0,500.0
 rtx3050 gaming x 8g,27899,10.0,36.0,5.0,278.0,0.0,0.0,550.0
 rtx 3080 ti master 12gв ,99999,12.0,48.0,3.3,391.0,0.0,0.0,850.0
 gt710 2gb gddr5 ,6299,11.0,36.0,4.3,144.0,0.0,0.0,300.0
видеокарта gigabyte gv-n1650oc-4gd,14799,12.0,36.0,3.8,191.0,3.0,0.0,300.0
 rtx 4080 aorus 16gb master ,120999,16.0,36.0,4.2,357.0,4.0,0.0,850.0
gtx1050ti stormx 4g ,13999,9.0,36.0,3.9,166.0,0.0,0.0,300.0
 rtx 3060 ventus 3x 12g oc 12gb gddr6,38799,4.0,12.0,4.7,316.0,4.0,0.0,550.0
 rtx 3060 ti gaming x 8g lhr 8gb gddr6,44499,28.0,12.0,3.4,278.0,4.0,0.0,600.0
 rtx 4080 eagle oc 16gb ,108999,7.0,24.0,4.8,342.0,4.0,0.0,850.0
 gt 730 silent 2gb ,5199,8.0,36.0,4.7,115.0,0.0,0.0,300.0
 rtx 4080 gamerock oc 16gb ,107499,10.0,36.0,5.0,329.4,4.0,0.0,850.0
 rtx 4080 aorus xtreme waterforce wb 16gb ,127999,12.0,36.0,3.7,235.0,4.0,0.0,850.0
видеокарта gigabyte gv-n166soc-6gd,29999,10.0,36.0,3.5,225.65,4.0,0.0,450.0
 rtx 3090 gaming x trio 24g,119999,16.0,36.0,5.0,323.0,0.0,0.0,750.0
 rtx 3080 ti ventus 12g oc,155499,15.0,0.0,4.1,305.0,0.0,0.0,750.0
 rtx3070ti gamingpro 8gb ,57799,13.0,36.0,4.4,294.0,0.0,0.0,700.0
 rtx 4080 gamerock 16gb ,102999,15.0,24.0,5.0,329.4,4.0,0.0,850.0
 rtx 4090 gamerock omniblack 24gb ,141999,6.0,36.0,3.4,329.4,4.0,0.0,1000.0
 rtx 4090 gamerock 24gb ,146999,12.0,24.0,4.1,329.4,4.0,0.0,1000.0
 rtx4070ti gamerock classic oc 12gb ,80999,11.0,36.0,4.9,313.0,0.0,0.0,750.0
