Название,Время отклика,Порты USB 3.1 (Type-C),Графический,Тип матрицы,Веб-камера,Диагональ экрана,Гарантия,Рейтинг,Порты USB 3.0 (Type-C),Количество ядер,Процессор,Количество отзывов,Подсветка клавиш,Выходная мощность адаптера питания,Емкость,Сенсорный,Максимальное число потоков,Соотношение сторон,Тип вилки,Яркость,Количество ячеек,Частота обновления,Операционная система,Объем оперативной памяти,Вес,Цена,Для геймеров,Количество высокопроизводительных ядер,Порты USB 3.2 (Type-C),Количество слотов оперативной
"ноутбук huawei matebook d 16 16""",0.0,0.0,0,5,0,0,0.0,0.0,0.0,0.0,0,22.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,81520.0,0.0,0.0,0.0,0.0
ноутбук huawei matebook d 15 bod-wdh9,0.0,0.0,0,5,0,0,0.0,4.9,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,46990.0,0.0,0.0,0.0,0.0
ноутбук huawei matebook d 15 bod-wdi9,0.0,0.0,0,5,0,0,0.0,0.0,0.0,0.0,0,5.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,43990.0,0.0,0.0,0.0,0.0
ноутбук hiper expertbook mtl1577,0.0,0.0,3,2,1,13,12.0,5.0,2.0,6.0,127,5.0,1.0,0,4800.0,0.0,12.0,2,0,250.0,0.0,60.0,9,8.0,1.7,46990.0,0.0,6.0,0.0,2.0
ноутбук digma pro fortis m,0.0,0.0,64,2,1,13,12.0,5.0,1.0,4.0,33,10.0,1.0,0,4250.0,0.0,8.0,2,0,0.0,0.0,60.0,9,8.0,1.87,45990.0,0.0,4.0,1.0,0.0
ноутбук asus a516jp-ej461,0.0,0.0,19,8,1,13,12.0,0.0,1.0,4.0,67,5.0,1.0,0,0.0,0.0,8.0,2,0,200.0,2.0,60.0,10,16.0,1.8,55990.0,0.0,4.0,0.0,1.0
ноутбук huawei matebook d 15 bom-wfp9,0.0,0.0,3,2,1,13,12.0,0.0,0.0,8.0,136,21.0,1.0,0,0.0,0.0,16.0,2,0,250.0,0.0,60.0,10,16.0,1.56,59990.0,0.0,8.0,0.0,0.0
ноутбук hiper dzen mtl1569,0.0,0.0,62,2,1,13,12.0,5.0,1.0,4.0,38,14.0,1.0,0,5700.0,0.0,8.0,2,0,250.0,0.0,60.0,4,8.0,1.7,54990.0,0.0,4.0,0.0,2.0
ноутбук игровой msi gp66 leopard 11ug-699xru,0.0,0.0,36,2,1,13,12.0,4.9,0.0,8.0,73,7.0,1.0,0,0.0,0.0,16.0,2,0,0.0,4.0,144.0,4,16.0,2.38,134990.0,1.0,8.0,0.0,2.0
‌,0.0,0.0,29,2,1,13,12.0,0.0,1.0,6.0,39,9.0,1.0,0,0.0,0.0,12.0,2,0,0.0,3.0,144.0,4,16.0,1.86,134990.0,1.0,6.0,0.0,2.0
ноутбук huawei matebook d 15 bod-wfh9,0.0,0.0,62,2,1,13,12.0,5.0,0.0,4.0,38,10.0,1.0,0,0.0,0.0,8.0,2,0,250.0,3.0,60.0,9,16.0,1.56,62990.0,0.0,4.0,0.0,0.0
ноутбук игровой msi sword 15 a12ue-487xru,0.0,0.0,32,2,1,13,12.0,4.8,1.0,14.0,77,10.0,1.0,0,0.0,0.0,20.0,2,0,0.0,3.0,144.0,4,16.0,2.25,105990.0,1.0,6.0,0.0,2.0
ноутбук msi modern 14 c5m-010xru,0.0,1.0,3,2,1,6,12.0,4.6,0.0,6.0,128,18.0,1.0,0,0.0,0.0,12.0,2,0,0.0,3.0,60.0,4,16.0,1.4,58990.0,0.0,6.0,0.0,0.0
ноутбук huawei matebook d 15 bod-wdi9,0.0,0.0,64,2,1,13,12.0,4.9,1.0,2.0,25,12.0,1.0,0,3665.0,0.0,4.0,2,0,250.0,3.0,60.0,9,8.0,1.53,43990.0,0.0,2.0,0.0,1.0
ноутбук игровой msi gf63 thin 11sc-623xru,0.0,0.0,17,2,1,13,12.0,4.8,1.0,6.0,39,4.0,1.0,0,0.0,0.0,12.0,2,0,0.0,3.0,144.0,4,8.0,1.86,69990.0,1.0,6.0,0.0,2.0
ноутбук msi modern 14 c5m-012ru,0.0,1.0,3,2,1,6,12.0,5.0,0.0,6.0,128,1.0,1.0,0,0.0,0.0,12.0,2,0,0.0,3.0,60.0,9,16.0,1.4,52990.0,0.0,6.0,0.0,0.0
ноутбук игровой msi gf63 thin 11ud-206xru,0.0,0.0,27,2,1,13,12.0,4.9,1.0,6.0,39,7.0,1.0,0,0.0,0.0,12.0,2,0,0.0,3.0,144.0,4,16.0,1.86,85990.0,1.0,6.0,0.0,2.0
ноутбук игровой msi sword 17 a11ud-809xru,0.0,0.0,27,2,1,18,12.0,4.8,1.0,6.0,39,4.0,1.0,0,0.0,0.0,12.0,2,0,0.0,3.0,144.0,4,16.0,2.6,89990.0,1.0,6.0,0.0,2.0
ноутбук игровой msi pulse gl66 12uek-289xru,0.0,0.0,32,2,1,13,12.0,4.6,1.0,12.0,46,16.0,1.0,0,0.0,0.0,16.0,2,0,0.0,3.0,144.0,4,8.0,2.25,105990.0,1.0,4.0,0.0,2.0
ноутбук chuwi corebook x 14,0.0,0.0,64,2,1,6,12.0,4.8,1.0,2.0,24,8.0,1.0,0,4000.0,0.0,4.0,4,0,0.0,0.0,0.0,9,8.0,1.5,35990.0,0.0,2.0,0.0,0.0
ноутбук huawei matebook d 16 rlef-x,0.0,0.0,64,2,1,14,12.0,4.9,2.0,8.0,45,9.0,1.0,0,0.0,0.0,12.0,1,0,300.0,0.0,60.0,9,16.0,1.71,76990.0,0.0,4.0,0.0,0.0
ноутбук huawei matebook d 14 nbde-wdh9,0.0,0.0,62,2,1,6,12.0,5.0,1.0,4.0,41,1.0,1.0,0,0.0,0.0,8.0,2,0,250.0,4.0,60.0,9,8.0,1.38,54990.0,0.0,4.0,0.0,0.0
ноутбук игровой msi sword 17 a11ud-808xru,0.0,0.0,27,2,1,18,12.0,4.9,1.0,8.0,73,13.0,1.0,0,0.0,0.0,16.0,2,0,0.0,3.0,144.0,4,16.0,2.6,99990.0,1.0,8.0,0.0,0.0
ноутбук игровой adata xpg xenia 15kc,0.0,0.0,36,2,1,13,12.0,4.8,0.0,8.0,73,11.0,1.0,0,0.0,0.0,16.0,2,0,300.0,0.0,165.0,9,32.0,1.94,109191.0,1.0,8.0,0.0,2.0
