Название,Время отклика,Порты USB 3.1 (Type-C),Графический,Тип матрицы,Веб-камера,Диагональ экрана,Гарантия,Рейтинг,Порты USB 3.0 (Type-C),Количество ядер,Процессор,Количество отзывов,Подсветка клавиш,Выходная мощность адаптера питания,Емкость,Сенсорный,Максимальное число потоков,Соотношение сторон,Тип вилки,Яркость,Количество ячеек,Частота обновления,Операционная система,Объем оперативной памяти,Вес,Цена,Для геймеров,Количество высокопроизводительных ядер,Порты USB 3.2 (Type-C),Количество слотов оперативной
ноутбук asus m1502ia-bq093,0.0,0.0,77,5,1,13,12,5.0,0.0,8.0,135,3.0,0.0,0,42.0,0.0,0.0,2,0,0.0,0.0,60.0,10,16.0,1.7,46999,0.0,0.0,1.0,0.0
ноутбук haier i1510sd (jb0b1be00ru),0.0,1.0,90,2,1,13,12,5.0,1.0,2.0,31,8.0,1.0,0,3400.0,0.0,4.0,0,0,0.0,0.0,60.0,10,8.0,1.65,34999,0.0,0.0,0.0,2.0
ноутбук asus vivobook 15 m1502i (90nb0y52-m002r0),0.0,0.0,76,2,1,13,12,5.0,2.0,6.0,124,8.0,0.0,0,0.0,0.0,12.0,0,0,0.0,0.0,0.0,10,8.0,1.7,44999,0.0,0.0,0.0,0.0
ноутбук asus m515da-ej1697,0.0,0.0,74,5,0,13,12,5.0,0.0,4.0,122,12.0,0.0,0,37.0,0.0,8.0,0,0,0.0,2.0,60.0,5,8.0,1.8,41999,0.0,0.0,1.0,0.0
игровой ноутбук thunderobot 911 air wave d (jt009ce09ru),0.0,0.0,25,0,1,13,12,5.0,1.0,6.0,58,16.0,1.0,0,0.0,0.0,12.0,0,0,0.0,0.0,144.0,5,8.0,2.15,64999,0.0,0.0,0.0,2.0
ноутбук apple macbook air 13 m1/8/256gb space gray (mgn63),0.0,1.0,12,2,0,4,12,5.0,0.0,8.0,1,12.0,1.0,0,0.0,0.0,0.0,0,1,400.0,0.0,0.0,7,8.0,1.29,91999,0.0,8.0,0.0,0.0
ноутбук huawei matebook d15 bod-wdh9 i5/8gb/512gb mystic silver (53013err),0.0,0.0,62,2,1,13,12,5.0,1.0,4.0,57,5.0,0.0,0,0.0,0.0,8.0,0,0,0.0,0.0,0.0,9,8.0,1.56,54999,0.0,0.0,0.0,0.0
ноутбук huawei matebook d15 i5-1155g7/16/512 space gray (bode-wfh9),0.0,0.0,72,2,1,13,12,5.0,1.0,4.0,59,10.0,0.0,0,0.0,0.0,8.0,0,0,0.0,0.0,0.0,9,16.0,1.56,62999,0.0,0.0,0.0,0.0
ноутбук honor magicbook x 15 i5 8+512gb space grey (bdr-wdh),0.0,0.0,72,2,1,13,12,5.0,1.0,4.0,57,11.0,0.0,0,0.0,0.0,8.0,2,0,0.0,0.0,60.0,9,8.0,1.56,51999,0.0,0.0,0.0,0.0
игровой ноутбук msi katana gf66 12ue-1084ru,0.0,0.0,31,3,1,13,12,5.0,0.0,12.0,63,5.0,1.0,0,4562.0,0.0,16.0,0,2,0.0,0.0,144.0,9,16.0,2.25,109999,1.0,0.0,1.0,2.0
ноутбук asus tuf gaming a15 fa506ihr-us51,0.0,0.0,16,2,0,13,12,5.0,0.0,6.0,124,6.0,1.0,0,0.0,0.0,12.0,0,5,0.0,0.0,144.0,9,8.0,2.3,64999,0.0,0.0,1.0,2.0
ноутбук haier u1530em,0.0,0.0,91,2,1,13,12,4.0,0.0,2.0,18,12.0,0.0,0,5000.0,0.0,0.0,0,4,0.0,0.0,60.0,9,4.0,1.5,22999,0.0,0.0,0.0,0.0
игровой ноутбук asus tuf f15 fx506hcb-us51,0.0,0.0,25,2,1,13,12,5.0,0.0,6.0,58,9.0,1.0,0,0.0,0.0,0.0,0,5,0.0,0.0,144.0,9,8.0,2.3,73999,1.0,0.0,1.0,2.0
