Процессор,Гарантия,Объем SSD,Мышь,Цена,Количество ядер,Количество отзывов,Название,Операционная система,Клавиатура,Рейтинг,Блок питания,Разъем для наушников,Графика,Объем оперативной памяти,Разъем для микрофона
50,36.0,1024.0,0.0,89300.0,6.0,18.0,компьютер iru game 310h5gma,3,0.0,4.8,650.0,1.0,25,16.0,1.0
34,36.0,240.0,0.0,31400.0,4.0,3.0,компьютер iru home 310h5se,3,0.0,4.7,400.0,1.0,49,8.0,1.0
25,36.0,1024.0,0.0,86500.0,0.0,17.0,компьютер iru game 310h5gs,3,0.0,5.0,500.0,1.0,1,0.0,1.0
34,36.0,240.0,0.0,33600.0,4.0,4.0,компьютер iru home 310h5se,3,0.0,4.6,400.0,1.0,49,16.0,1.0
56,12.0,512.0,0.0,33600.0,6.0,5.0,‌,7,0.0,0.0,500.0,1.0,24,16.0,1.0
50,12.0,512.0,0.0,101500.0,6.0,7.0,компьютер hp pavilion tg01-2017ur,3,0.0,5.0,500.0,0.0,27,16.0,0.0
49,12.0,512.0,0.0,93800.0,6.0,11.0,компьютер msi creator p50 11si-232xru,7,0.0,4.8,330.0,1.0,19,16.0,1.0
50,12.0,512.0,0.0,83030.0,6.0,3.0,компьютер msi infinite 11si-1611xru,7,0.0,4.5,500.0,1.0,19,16.0,1.0
50,12.0,1024.0,0.0,96500.0,6.0,10.0,компьютер msi infinite 11th-1610xru,7,0.0,5.0,500.0,1.0,24,16.0,1.0
50,12.0,0.0,0.0,57990.0,6.0,15.0,компьютер acer aspire tc-1660,7,0.0,5.0,500.0,1.0,16,8.0,1.0
25,0.0,0.0,0.0,50600.0,0.0,7.0,компьютер iru home 310h5gm,0,0.0,5.0,0.0,0.0,1,0.0,0.0
104,36.0,240.0,0.0,28100.0,2.0,13.0,компьютер iru home 310h3se,3,0.0,5.0,400.0,1.0,48,8.0,1.0
49,36.0,240.0,0.0,36900.0,6.0,10.0,компьютер iru home 310h5se,3,0.0,3.8,400.0,1.0,51,8.0,1.0
50,36.0,1024.0,0.0,79800.0,6.0,4.0,компьютер iru game 310h5gma,3,0.0,0.0,500.0,1.0,16,16.0,1.0
4,36.0,256.0,0.0,33100.0,4.0,1.0,компьютер iru home 320a3se,3,0.0,5.0,400.0,1.0,2,8.0,1.0
97,36.0,240.0,0.0,23100.0,2.0,11.0,компьютер iru home 310h4se,3,0.0,0.0,400.0,1.0,48,4.0,1.0
19,36.0,1024.0,0.0,69400.0,8.0,1.0,компьютер iru home 520b5gp,3,0.0,3.0,700.0,1.0,2,16.0,1.0
49,36.0,240.0,0.0,41300.0,6.0,1.0,компьютер iru home 310h5sm,3,0.0,4.0,400.0,1.0,51,8.0,1.0
49,36.0,256.0,0.0,42000.0,6.0,10.0,компьютер iru office 310h5sfp,3,0.0,4.5,300.0,1.0,51,8.0,1.0
45,36.0,500.0,0.0,107500.0,6.0,16.0,компьютер iru game 510b5gma,3,0.0,4.5,500.0,1.0,25,16.0,1.0
50,36.0,256.0,0.0,49100.0,6.0,10.0,компьютер iru home 310h5sm,3,0.0,0.0,500.0,1.0,11,8.0,1.0
69,12.0,512.0,0.0,63900.0,4.0,9.0,неттоп msi cubi 5 10m-840xru,7,0.0,4.0,65.0,1.0,46,16.0,1.0
97,12.0,0.0,0.0,16100.0,2.0,8.0,неттоп hiper m9,7,0.0,4.3,120.0,1.0,48,0.0,1.0
29,12.0,256.0,0.0,99800.0,8.0,15.0,компьютер apple mac mini a2348,6,0.0,0.0,0.0,1.0,1,16.0,0.0
56,36.0,1024.0,0.0,94700.0,6.0,12.0,компьютер iru game 510b6gs,3,0.0,0.0,700.0,1.0,24,16.0,1.0
