Процессор,Гарантия,Объем SSD,Мышь,Цена,Количество ядер,Количество отзывов,Название,Операционная система,Клавиатура,Рейтинг,Блок питания,Разъем для наушников,Графика,Объем оперативной памяти,Разъем для микрофона
56,12.0,512.0,0.0,59999,6.0,11.0,игровой компьютер thunderobot alpha d i5-12400,9,0.0,5.0,300.0,0.0,16,16.0,0.0
56,12.0,512.0,0.0,99999,6.0,23.0,игровой компьютер thunderobot bw iii pro xl d i5-12400,4,0.0,5.0,600.0,1.0,25,32.0,0.0
12,12.0,512.0,0.0,111999,6.0,6.0,игровой компьютер asus rog g15 tower dt g15dk-r5600x0040,9,0.0,5.0,0.0,0.0,68,16.0,0.0
51,0.0,0.0,0.0,129999,6.0,10.0,компьютер must mbm114003070,9,0.0,5.0,800.0,0.0,0,16.0,0.0
37,36.0,512.0,0.0,45999,4.0,9.0,компьютер iru 310h5ge i3 10105,9,0.0,5.0,500.0,0.0,16,16.0,0.0
15,0.0,0.0,0.0,54999,6.0,1.0,игровой компьютер must mbm3600110722,9,0.0,5.0,500.0,0.0,41,16.0,0.0
51,12.0,0.0,0.0,112999,6.0,6.0,игровой компьютер acer predator orion 3000 po3-630 (dg.e2cmc.003),9,0.0,5.0,700.0,0.0,28,16.0,0.0
57,12.0,0.0,0.0,99999,6.0,2.0,компьютер acer nitro 50 n50-640 (dg.e2ver.003),8,0.0,5.0,0.0,0.0,67,16.0,0.0
51,12.0,512.0,0.0,54999,6.0,5.0,игровой компьютер acer aspire tc-1660 dg.bgzer.00l,8,0.0,5.0,500.0,0.0,16,8.0,1.0
51,12.0,512.0,0.0,54999,6.0,12.0,игровой компьютер acer tc-1660 (dg.bgzer.010),8,0.0,4.0,300.0,0.0,41,8.0,0.0
51,12.0,512.0,0.0,54999,6.0,9.0,игровой компьютер acer aspire tc-1660 (dg.bgzer.011),9,0.0,5.0,300.0,0.0,16,16.0,0.0
51,0.0,0.0,0.0,99999,6.0,16.0,компьютер must mbm114003060,9,0.0,5.0,700.0,0.0,66,16.0,0.0
8,0.0,0.0,0.0,74999,6.0,3.0,компьютер must mbm36003050,9,0.0,4.0,600.0,0.0,65,16.0,0.0
33,12.0,256.0,0.0,16999,2.0,3.0,компьютер hp slim s01-af0024ur (465l5ea),8,0.0,5.0,180.0,0.0,57,4.0,0.0
1,12.0,0.0,0.0,29999,2.0,2.0,компьютер lenovo ideacentre 3 07ada05 (90mv004brs),8,0.0,5.0,90.0,0.0,56,8.0,0.0
26,12.0,500.0,0.0,10999,2.0,11.0,компьютер acer aspire xc-330 (dt.bd2er.001),8,0.0,4.0,65.0,1.0,58,4.0,1.0
56,12.0,512.0,0.0,79999,6.0,12.0,игровой компьютер thunderobot alpha xd i5-12400,9,0.0,5.0,400.0,0.0,24,16.0,0.0
56,12.0,512.0,0.0,89999,6.0,5.0,игровой компьютер thunderobot bw iii pro d i5-12400,4,0.0,5.0,600.0,1.0,25,16.0,0.0
45,36.0,512.0,0.0,33999,6.0,3.0,системный блок raskat standart500 (1053030,9,0.0,5.0,0.0,0.0,76,16.0,0.0
51,0.0,0.0,0.0,84999,6.0,12.0,игровой компьютер 4aces joker jk114 (i5-11400f,8,0.0,4.0,800.0,0.0,25,16.0,0.0
51,12.0,512.0,0.0,93899,6.0,3.0,игровой компьютер msi mag codex 5 11sc-1037xru,9,0.0,5.0,500.0,0.0,22,16.0,0.0
11,24.0,0.0,0.0,105999,6.0,13.0,игровой компьютер msi mag meta 5 5edq-1480xru (9s6-b93091-1480),9,0.0,5.0,500.0,0.0,60,16.0,0.0
50,36.0,256.0,0.0,31999,6.0,14.0,компьютер raskat raskat standart 500 99790 (i5-11400,9,0.0,5.0,0.0,0.0,74,8.0,0.0
46,36.0,0.0,0.0,51999,6.0,13.0,компьютер raskat standart 520 i5-10400f,9,0.0,5.0,500.0,0.0,16,16.0,0.0
8,0.0,512.0,0.0,46999,6.0,9.0,игровой компьютер 4aces hold'em (r5-3600,8,0.0,5.0,500.0,0.0,59,16.0,0.0
51,36.0,512.0,0.0,64999,6.0,5.0,компьютер iru 310h5ge,4,0.0,5.0,500.0,1.0,65,16.0,0.0
46,36.0,0.0,0.0,49999,6.0,11.0,компьютер raskat strike 520 103695 (i5-10400f,9,0.0,5.0,0.0,0.0,16,16.0,0.0
38,0.0,0.0,0.0,45999,4.0,17.0,игровой компьютер 4aces spades (sp10105f1650111122),9,0.0,5.0,600.0,0.0,16,16.0,0.0
51,24.0,500.0,0.0,75799,6.0,5.0,игровой компьютер msi mag codex 5 11si-1476xru,4,0.0,5.0,500.0,0.0,19,16.0,0.0
7,12.0,512.0,0.0,62999,4.0,9.0,игровой компьютер asus g10dk-a3400g062w (90pf02s1-m005h0),8,0.0,5.0,550.0,0.0,16,8.0,0.0
37,0.0,480.0,0.0,29999,4.0,6.0,компьютер must mbm1010541022,9,0.0,5.0,450.0,0.0,76,16.0,0.0
8,0.0,0.0,0.0,67999,6.0,5.0,игровой компьютер 4aces blackjack bj360 (r5-3600,8,0.0,4.0,650.0,0.0,24,16.0,0.0
51,12.0,512.0,0.0,99999,6.0,7.0,игровой компьютер acer nitro n50-620 (dg.e2der.00c),8,0.0,5.0,500.0,0.0,26,16.0,0.0
8,0.0,0.0,0.0,62999,6.0,4.0,компьютер must mbm3600120723,9,0.0,5.0,500.0,0.0,41,16.0,0.0
74,12.0,0.0,0.0,129999,8.0,4.0,игровой компьютер acer po3-630,9,0.0,5.0,500.0,0.0,28,16.0,0.0
51,12.0,0.0,0.0,87999,6.0,15.0,игровой компьютер nerpa hispida i540 (i540-1508223),8,0.0,0.0,600.0,0.0,26,16.0,0.0
74,0.0,0.0,0.0,159999,8.0,12.0,компьютер must mbm11700110722,9,0.0,5.0,800.0,0.0,0,32.0,0.0
46,36.0,512.0,0.0,86999,6.0,7.0,компьютер raskat strike 520 i5-10400f,9,0.0,5.0,550.0,0.0,25,16.0,0.0
57,12.0,0.0,0.0,129999,6.0,13.0,игровой компьютер oldi computers pc game 700 (798366),9,0.0,5.0,700.0,0.0,28,32.0,0.0
76,24.0,0.0,0.0,134799,8.0,1.0,игровой компьютер msi mag codex x5 11tg-1473xru,4,0.0,5.0,0.0,0.0,26,16.0,0.0
74,24.0,500.0,0.0,132799,8.0,9.0,игровой компьютер msi mpg trident as 11tg-2436ru,8,0.0,5.0,450.0,0.0,25,16.0,0.0
10,36.0,480.0,0.0,32490,6.0,2.0,компьютер robotcomp аллигатор v2 white,8,0.0,0.0,400.0,0.0,2,16.0,0.0
46,36.0,480.0,0.0,64190,4.0,6.0,игровой компьютер robotcomp m-16 v3 plus,8,0.0,0.0,600.0,0.0,16,32.0,0.0
36,36.0,480.0,0.0,49190,4.0,7.0,игровой компьютер robotcomp старт v2 plus white 1650,8,0.0,0.0,500.0,0.0,16,16.0,0.0
35,0.0,256.0,0.0,25999,4.0,12.0,компьютер must mbm1010041022,9,0.0,5.0,450.0,0.0,76,8.0,0.0
50,0.0,480.0,0.0,34999,6.0,9.0,компьютер must mbm11400510110722,9,0.0,0.0,450.0,0.0,77,16.0,0.0
35,36.0,0.0,0.0,30999,4.0,18.0,компьютер raskat standart 300 i3-10100,9,0.0,5.0,0.0,0.0,76,16.0,0.0
83,12.0,0.0,0.0,199999,12.0,11.0,игровой компьютер msi mag codex x5,8,0.0,5.0,0.0,0.0,29,32.0,0.0
25,0.0,0.0,0.0,199999,0.0,19.0,игровой компьютер msi mag codex x5,0,0.0,0.0,0.0,0.0,55,0.0,0.0
25,12.0,0.0,0.0,234999,12.0,7.0,игровой компьютер msi mag codex x5,8,0.0,5.0,0.0,0.0,31,32.0,0.0
35,36.0,256.0,0.0,25999,4.0,2.0,компьютер raskat standart 300 105126 (i3-10100,9,0.0,5.0,0.0,0.0,76,8.0,0.0
81,36.0,0.0,0.0,319999,12.0,10.0,компьютер raskat strike720 i7-12700f,8,0.0,5.0,1000.0,0.0,33,32.0,0.0
56,12.0,0.0,0.0,129999,6.0,6.0,игровой компьютер thunderobot bw iv max d i5-12400,4,0.0,5.0,750.0,1.0,29,16.0,0.0
35,0.0,256.0,0.0,25999,4.0,10.0,компьютер must mbm10100256111122,9,0.0,5.0,650.0,1.0,76,8.0,0.0
50,0.0,480.0,0.0,35999,6.0,9.0,компьютер must mbm11400480111122,9,0.0,5.0,650.0,1.0,77,8.0,0.0
11,12.0,0.0,0.0,64999,6.0,7.0,игровой компьютер nerpa hispida a540 (a540-1508221),9,0.0,0.0,600.0,0.0,24,16.0,0.0
12,12.0,0.0,0.0,84999,6.0,12.0,игровой компьютер nerpa hispida a540 (a540-1508223),8,0.0,0.0,600.0,0.0,26,16.0,0.0
32,12.0,512.0,0.0,183999,10.0,17.0,компьютер apple mac mini m2 pro 10 core,6,0.0,0.0,185.0,1.0,10,16.0,0.0
88,36.0,0.0,0.0,319999,16.0,9.0,игровой компьютер lyambda elisium l-gm1737-bk,8,0.0,5.0,1000.0,0.0,62,64.0,0.0
95,36.0,0.0,0.0,469999,24.0,14.0,игровой компьютер lyambda inferno l-gm1725-bk,8,0.0,5.0,1200.0,0.0,38,64.0,0.0
65,12.0,512.0,0.0,36990,4.0,1.0,игровой компьютер chuwi corebox i3-1215u 16,8,0.0,0.0,19.0,0.0,54,16.0,0.0
20,12.0,512.0,0.0,46990,8.0,16.0,игровой компьютер chuwi rzbox ryzen 7 5800h,8,0.0,0.0,19.0,0.0,57,16.0,0.0
25,0.0,0.0,0.0,46990,0.0,9.0,игровой компьютер chuwi rzbox ryzen 7 5800h,0,0.0,0.0,0.0,0.0,55,0.0,0.0
80,12.0,0.0,0.0,199990,12.0,12.0,компьютер thunderobot black warrior iv ultra 7 (jt00ep00eru),8,0.0,0.0,1000.0,0.0,70,32.0,0.0
56,12.0,512.0,0.0,59990,6.0,17.0,компьютер thunderobot alpha d (jt00et00eru),9,0.0,0.0,300.0,0.0,16,16.0,0.0
56,12.0,512.0,0.0,99990,6.0,14.0,компьютер thunderobot black warrior iii pro xl d (jt00em00eru),9,0.0,0.0,600.0,0.0,25,32.0,0.0
81,36.0,0.0,0.0,101190,12.0,15.0,игровой компьютер robotcomp борей v2,8,0.0,0.0,700.0,0.0,25,16.0,0.0
81,36.0,0.0,0.0,106490,12.0,13.0,игровой компьютер robotcomp борей v3,8,0.0,0.0,700.0,0.0,25,16.0,0.0
81,36.0,0.0,0.0,106890,12.0,11.0,игровой компьютер robotcomp борей v2 plus,8,0.0,0.0,700.0,0.0,25,32.0,0.0
81,36.0,0.0,0.0,112190,12.0,3.0,игровой компьютер robotcomp борей v3 plus,8,0.0,0.0,700.0,0.0,25,32.0,0.0
25,36.0,480.0,0.0,46990,4.0,8.0,игровой компьютер robotcomp f-22 raptor,4,0.0,0.0,500.0,0.0,16,16.0,0.0
25,36.0,480.0,0.0,51190,4.0,18.0,игровой компьютер robotcomp f-22 raptor plus,4,0.0,0.0,500.0,0.0,16,32.0,0.0
25,36.0,480.0,0.0,50790,4.0,8.0,игровой компьютер robotcomp f-22 raptor v2,8,0.0,0.0,500.0,0.0,16,16.0,0.0
25,36.0,480.0,0.0,54890,4.0,6.0,игровой компьютер robotcomp f-22 raptor v2 plus,8,0.0,0.0,500.0,0.0,16,32.0,0.0
25,36.0,480.0,0.0,56190,4.0,13.0,игровой компьютер robotcomp f-22 raptor v3,8,0.0,0.0,500.0,0.0,16,16.0,0.0
25,36.0,480.0,0.0,60190,4.0,7.0,игровой компьютер robotcomp f-22 raptor v3 plus,8,0.0,0.0,500.0,0.0,16,32.0,0.0
81,36.0,0.0,0.0,101190,12.0,5.0,игровой компьютер robotcomp борей v2 white,8,0.0,0.0,700.0,0.0,25,16.0,0.0
