Мощность сабвуфера,Операционная система,Цифровое шумоподавление,Цвет,Поддержка NFC,Количество отзывов,Размер VESA,Название,Вес без подставки,Время отклика пикселя,Разъем для наушников,Яркость экрана,Соотношение сторон,Акустическая схема,Рейтинг,Цена,Встроенный Wi-Fi,Объем оперативной памяти,Гарантия,Прогрессивная развертка,Страна производитель,Разрешение,Встроенный сабвуфер,Тип панели,Таймер включения/выключения,Управление со смартфона,Встроенный Bluetooth,Контрастность,Поддержка HDR,Диагональ,Объем встроенной памяти,Телетекст,Частота обновления,Родительский контроль
0,1,1.0,0,0.0,14.0,0,"32"" haier smart tv s1",3.7,6.5,1.0,220.0,1,4,4.8,15990.0,1.0,1.0,12.0,0.0,13,2,0.0,3,1.0,0.0,1.0,4000,1.0,81.0,8.0,0.0,60.0,1.0
0,0,0.0,0,0.0,3.0,2,"43"" yuno ulx-43utcs3234",0.0,0.0,1.0,0.0,0,4,4.3,17990.0,1.0,0.0,12.0,0.0,0,0,0.0,6,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,6,0.0,0,0.0,5.0,3,"43"" lg 43nano786qa.arub",9.2,0.0,0.0,0.0,0,4,4.6,40990.0,1.0,0.0,12.0,0.0,0,0,0.0,6,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,6.0,12,"24"" bbk 24lem-1089/t2c",0.0,0.0,0.0,0.0,0,0,4.8,7490.0,0.0,0.0,12.0,1.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,0.0,3,"55"" samsung qe55q70bauxce",15.5,0.0,0.0,0.0,0,0,0.0,94990.0,1.0,0.0,12.0,1.0,0,0,0.0,6,0.0,0.0,1.0,0,1.0,0.0,0.0,1.0,0.0,1.0
0,0,1.0,0,0.0,21.0,3,"32"" hyundai h-led32et3021",4.3,0.0,0.0,0.0,0,0,4.5,9440.0,0.0,0.0,12.0,1.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0
0,8,0.0,0,0.0,4.0,3,"50"" starwind sw-led50ug400",0.0,8.0,1.0,250.0,1,0,4.5,25390.0,1.0,1.5,12.0,0.0,2,3,0.0,3,0.0,0.0,1.0,6000,0.0,127.0,8.0,0.0,60.0,0.0
20,5,0.0,0,0.0,14.0,9,"55"" hisense 55u8hq",19.4,0.0,0.0,0.0,0,2,4.9,124990.0,1.0,0.0,12.0,0.0,0,0,1.0,6,0.0,0.0,1.0,0,1.0,0.0,0.0,1.0,0.0,1.0
0,2,0.0,0,0.0,12.0,3,"65"" tcl 65p637",14.0,0.0,1.0,0.0,0,4,5.0,47990.0,1.0,2.0,12.0,0.0,0,0,0.0,6,0.0,0.0,1.0,0,1.0,0.0,16.0,0.0,0.0,0.0
0,8,0.0,0,0.0,3.0,3,"55"" starwind sw-led55ug400",0.0,6.5,1.0,250.0,1,0,4.0,28290.0,1.0,1.5,12.0,0.0,2,3,0.0,3,0.0,0.0,1.0,5000,0.0,140.0,8.0,0.0,60.0,0.0
0,8,0.0,0,0.0,6.0,3,"50"" bbk 50lex-8289/uts2c",0.0,0.0,1.0,0.0,0,0,4.8,24990.0,1.0,0.0,12.0,0.0,0,0,0.0,6,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,0.0,0,0.0,1.0,3,"50"" samsung qe50q60bauxce",11.5,8.0,0.0,0.0,1,0,5.0,64990.0,1.0,0.0,12.0,0.0,13,3,0.0,8,0.0,0.0,1.0,0,1.0,127.0,0.0,1.0,60.0,1.0
0,1,1.0,0,0.0,38.0,8,"50"" hyundai h-led50eu7008",10.3,0.0,1.0,0.0,0,0,4.3,26240.0,1.0,0.0,12.0,1.0,0,0,0.0,6,0.0,1.0,1.0,0,1.0,0.0,0.0,1.0,0.0,1.0
0,1,1.0,0,0.0,13.0,3,"50"" grundig 50gfu7800b",0.0,0.0,0.0,0.0,0,4,4.7,42990.0,1.0,0.0,12.0,0.0,0,0,0.0,6,1.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,1.0,0,0.0,3.0,2,"24"" hyundai h-led24bs5000",2.5,0.0,1.0,0.0,0,0,5.0,10990.0,1.0,1.0,12.0,1.0,0,0,0.0,6,1.0,1.0,1.0,0,0.0,0.0,8.0,0.0,0.0,1.0
0,0,1.0,0,0.0,9.0,0,"32"" sunwind sun-led32xb211",4.55,8.5,1.0,200.0,1,4,4.6,8990.0,0.0,0.0,12.0,1.0,2,1,0.0,3,1.0,0.0,0.0,3000,0.0,81.0,0.0,1.0,60.0,1.0
0,1,1.0,0,0.0,5.0,4,"58"" philips 58pus8507/60",0.0,0.0,1.0,0.0,0,0,4.8,69990.0,1.0,0.0,12.0,1.0,0,0,0.0,6,1.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0.0,1.0
0,1,1.0,0,0.0,17.0,3,"50"" hyundai h-led50qbu7500",8.8,9.5,0.0,350.0,1,4,4.7,34990.0,1.0,2.0,12.0,1.0,2,3,0.0,8,1.0,0.0,1.0,5000,1.0,127.0,16.0,1.0,60.0,1.0
0,1,0.0,0,0.0,0.0,0,"31.5"" telefunken tf-led32s74t2s\h",0.0,0.0,1.0,0.0,0,4,0.0,9290.0,1.0,1.0,12.0,1.0,0,0,0.0,6,0.0,1.0,0.0,0,0.0,0.0,8.0,1.0,0.0,0.0
0,6,0.0,2,0.0,1.0,12,"28"" lg 28tq525s-pz",0.0,0.0,0.0,0.0,0,4,5.0,20990.0,1.0,0.0,12.0,0.0,0,0,0.0,6,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,0.0,0,0.0,1.0,9,"75"" hisense 75a6bg",26.0,0.0,1.0,0.0,0,0,5.0,99990.0,1.0,0.0,12.0,1.0,0,0,0.0,6,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,3.0,0,"23.6"" supra stv-lc24lt0045w",0.0,0.0,1.0,0.0,0,0,4.0,7390.0,0.0,0.0,12.0,1.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,1.0,0,0.0,10.0,2,"32"" polarline 32pl12tc",4.0,0.0,1.0,0.0,0,0,5.0,8720.0,0.0,0.0,12.0,1.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0
0,8,0.0,0,0.0,4.0,12,"23.6"" bbk 24lex-7289/ts2c",0.0,0.0,1.0,0.0,0,4,5.0,8990.0,1.0,1.0,12.0,0.0,0,0,0.0,6,0.0,0.0,1.0,0,0.0,0.0,8.0,0.0,0.0,0.0
0,1,1.0,0,0.0,33.0,3,"55"" hyundai h-led55eu7008",13.5,0.0,1.0,0.0,0,0,4.9,30720.0,1.0,0.0,12.0,1.0,0,0,0.0,6,0.0,1.0,1.0,0,1.0,0.0,0.0,1.0,0.0,1.0
0,1,1.0,0,0.0,6.0,6,"65"" hyundai h-led65qbu7500",19.0,6.5,0.0,400.0,1,4,4.8,53990.0,1.0,2.0,12.0,1.0,2,3,0.0,8,1.0,0.0,1.0,5000,1.0,165.0,16.0,1.0,60.0,1.0
0,1,0.0,0,0.0,9.0,7,"70"" philips 70pus7956/60",24.6,0.0,1.0,0.0,0,0,4.1,79990.0,1.0,0.0,12.0,1.0,0,0,0.0,6,0.0,1.0,1.0,0,1.0,0.0,8.0,1.0,0.0,0.0
0,0,0.0,0,0.0,2.0,0,"32"" samsung ue32t4500auxce",4.0,0.0,0.0,0.0,0,0,5.0,23450.0,1.0,0.0,12.0,1.0,0,0,0.0,6,0.0,1.0,0.0,0,1.0,0.0,0.0,1.0,0.0,1.0
0,8,1.0,0,0.0,9.0,3,"40"" starwind sw-led40sg300",5.7,9.5,1.0,220.0,1,0,4.9,15890.0,1.0,1.0,12.0,1.0,2,2,0.0,3,0.0,0.0,1.0,5000,0.0,102.0,8.0,0.0,60.0,0.0
0,8,1.0,0,0.0,11.0,3,"32"" hyundai h-led32fs5005",3.7,0.0,1.0,0.0,0,0,2.5,10490.0,1.0,1.0,12.0,1.0,0,0,0.0,6,1.0,1.0,1.0,0,0.0,0.0,8.0,0.0,0.0,1.0
0,1,1.0,0,0.0,11.0,9,"50"" haier smart tv s1",10.3,8.0,1.0,280.0,1,4,5.0,27990.0,1.0,1.5,12.0,0.0,10,3,0.0,3,1.0,0.0,1.0,5000,1.0,127.0,8.0,0.0,60.0,1.0
0,8,0.0,0,0.0,6.0,0,"31.5"" yuno ulx-32tcsw2234",0.0,0.0,1.0,0.0,0,4,4.8,10590.0,1.0,1.5,12.0,0.0,0,0,0.0,6,0.0,0.0,1.0,0,0.0,0.0,8.0,0.0,0.0,0.0
0,1,1.0,0,0.0,4.0,9,"50"" haier smart tv s3",8.2,6.5,1.0,320.0,0,4,5.0,34990.0,1.0,0.0,12.0,0.0,10,3,0.0,8,1.0,0.0,1.0,6000,1.0,127.0,0.0,0.0,60.0,1.0
0,0,0.0,0,0.0,2.0,3,"55"" samsung qe55qn85bauxce",17.2,0.0,0.0,0.0,0,1,4.0,129990.0,1.0,0.0,12.0,0.0,0,0,0.0,6,0.0,0.0,1.0,0,1.0,0.0,0.0,1.0,0.0,0.0
