Цена,Акустическая схема,Таймер включения/выключения,Разъем для наушников,Встроенный сабвуфер,Прогрессивная развертка,Вес без подставки,Время отклика пикселя,Гарантия,Разрешение,Поддержка NFC,Управление со смартфона,Встроенный Wi-Fi,Встроенный Bluetooth,Поддержка HDR,Контрастность,Размер VESA,Телетекст,Яркость экрана,Мощность сабвуфера,Частота обновления,Родительский контроль,Диагональ,Страна производитель,Операционная система,Название,Соотношение сторон,Объем встроенной памяти,Объем оперативной памяти,Рейтинг,Количество отзывов,Тип панели,Цвет,Цифровое шумоподавление
15990.0,4,1.0,1.0,0.0,0.0,3.7,6.5,12.0,2,0.0,0.0,1.0,1.0,1.0,4000,0,0.0,220.0,0,60.0,1.0,81.0,13,1,"32"" haier smart tv s1",1,8.0,1.0,4.8,6.0,3,0,1.0
17990.0,4,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0,0.0,1.0,1.0,0.0,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,0,0,"43"" yuno ulx-43utcs3234",0,0.0,0.0,4.3,6.0,6,0,0.0
40990.0,4,0.0,0.0,0.0,0.0,9.2,0.0,12.0,0,0.0,0.0,1.0,1.0,1.0,0,3,0.0,0.0,0,0.0,0.0,0.0,0,6,"43"" lg 43nano786qa.arub",0,0.0,0.0,4.6,14.0,6,0,0.0
7490.0,0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0,12,0.0,0.0,0,0.0,0.0,0.0,0,0,"24"" bbk 24lem-1089/t2c",0,0.0,0.0,4.8,12.0,6,0,0.0
94990.0,0,0.0,0.0,0.0,1.0,15.5,0.0,12.0,0,0.0,0.0,1.0,1.0,1.0,0,3,1.0,0.0,0,0.0,1.0,0.0,0,0,"55"" samsung qe55q70bauxce",0,0.0,0.0,0.0,15.0,6,0,0.0
9440.0,0,0.0,0.0,0.0,1.0,4.3,0.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0,3,1.0,0.0,0,0.0,1.0,0.0,0,0,"32"" hyundai h-led32et3021",0,0.0,0.0,4.5,7.0,6,0,1.0
25390.0,0,0.0,1.0,0.0,0.0,0.0,8.0,12.0,3,0.0,0.0,1.0,1.0,0.0,6000,3,0.0,250.0,0,60.0,0.0,127.0,2,8,"50"" starwind sw-led50ug400",1,8.0,1.5,4.5,17.0,3,0,0.0
124990.0,2,0.0,0.0,1.0,0.0,19.4,0.0,12.0,0,0.0,0.0,1.0,1.0,1.0,0,9,1.0,0.0,20,0.0,1.0,0.0,0,5,"55"" hisense 55u8hq",0,0.0,0.0,4.9,3.0,6,0,0.0
47990.0,4,0.0,1.0,0.0,0.0,14.0,0.0,12.0,0,0.0,0.0,1.0,1.0,1.0,0,3,0.0,0.0,0,0.0,0.0,0.0,0,2,"65"" tcl 65p637",0,16.0,2.0,5.0,8.0,6,0,0.0
28290.0,0,0.0,1.0,0.0,0.0,0.0,6.5,12.0,3,0.0,0.0,1.0,1.0,0.0,5000,3,0.0,250.0,0,60.0,0.0,140.0,2,8,"55"" starwind sw-led55ug400",1,8.0,1.5,4.0,15.0,3,0,0.0
24990.0,0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0,0.0,0.0,1.0,1.0,0.0,0,3,0.0,0.0,0,0.0,0.0,0.0,0,8,"50"" bbk 50lex-8289/uts2c",0,0.0,0.0,4.8,2.0,6,0,0.0
64990.0,0,0.0,0.0,0.0,0.0,11.5,8.0,12.0,3,0.0,0.0,1.0,1.0,1.0,0,3,1.0,0.0,0,60.0,1.0,127.0,13,4,"50"" samsung qe50q60bauxce",1,0.0,0.0,5.0,8.0,8,0,0.0
26240.0,0,0.0,1.0,0.0,1.0,10.3,0.0,12.0,0,0.0,1.0,1.0,1.0,1.0,0,8,1.0,0.0,0,0.0,1.0,0.0,0,1,"50"" hyundai h-led50eu7008",0,0.0,0.0,4.3,3.0,6,0,1.0
42990.0,4,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0,0.0,1.0,1.0,1.0,1.0,0,3,0.0,0.0,0,0.0,1.0,0.0,0,1,"50"" grundig 50gfu7800b",0,0.0,0.0,4.7,8.0,6,0,1.0
10990.0,0,1.0,1.0,0.0,1.0,2.5,0.0,12.0,0,0.0,1.0,1.0,1.0,0.0,0,2,0.0,0.0,0,0.0,1.0,0.0,0,0,"24"" hyundai h-led24bs5000",0,8.0,1.0,5.0,13.0,6,0,1.0
8990.0,4,1.0,1.0,0.0,1.0,4.55,8.5,12.0,1,0.0,0.0,0.0,0.0,0.0,3000,0,1.0,200.0,0,60.0,1.0,81.0,2,0,"32"" sunwind sun-led32xb211",1,0.0,0.0,4.6,10.0,3,0,1.0
69990.0,0,1.0,1.0,0.0,1.0,0.0,0.0,12.0,0,0.0,0.0,1.0,1.0,0.0,0,4,1.0,0.0,0,0.0,1.0,0.0,0,1,"58"" philips 58pus8507/60",0,0.0,0.0,4.8,4.0,6,0,1.0
34990.0,4,1.0,0.0,0.0,1.0,8.8,9.5,12.0,3,0.0,0.0,1.0,1.0,1.0,5000,3,1.0,350.0,0,60.0,1.0,127.0,2,1,"50"" hyundai h-led50qbu7500",1,16.0,2.0,4.7,10.0,8,0,1.0
9290.0,4,0.0,1.0,0.0,1.0,0.0,0.0,12.0,0,0.0,1.0,1.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.0,0.0,0,1,"31.5"" telefunken tf-led32s74t2s\h",0,8.0,1.0,0.0,4.0,6,0,0.0
20990.0,4,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,0.0,0.0,1.0,1.0,0.0,0,12,0.0,0.0,0,0.0,0.0,0.0,0,6,"28"" lg 28tq525s-pz",0,0.0,0.0,5.0,6.0,6,2,0.0
99990.0,0,0.0,1.0,0.0,1.0,26.0,0.0,12.0,0,0.0,1.0,1.0,1.0,0.0,0,9,0.0,0.0,0,0.0,0.0,0.0,0,5,"75"" hisense 75a6bg",0,0.0,0.0,5.0,10.0,6,0,0.0
7390.0,0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.0,0.0,0,0,"23.6"" supra stv-lc24lt0045w",0,0.0,0.0,4.0,3.0,6,0,0.0
8720.0,0,0.0,1.0,0.0,1.0,4.0,0.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0,2,1.0,0.0,0,0.0,1.0,0.0,0,0,"32"" polarline 32pl12tc",0,0.0,0.0,5.0,10.0,6,0,1.0
8990.0,4,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0,0.0,0.0,1.0,1.0,0.0,0,12,0.0,0.0,0,0.0,0.0,0.0,0,8,"23.6"" bbk 24lex-7289/ts2c",0,8.0,1.0,5.0,11.0,6,0,0.0
30720.0,0,0.0,1.0,0.0,1.0,13.5,0.0,12.0,0,0.0,1.0,1.0,1.0,1.0,0,3,1.0,0.0,0,0.0,1.0,0.0,0,1,"55"" hyundai h-led55eu7008",0,0.0,0.0,4.9,9.0,6,0,1.0
53990.0,4,1.0,0.0,0.0,1.0,19.0,6.5,12.0,3,0.0,0.0,1.0,1.0,1.0,5000,6,1.0,400.0,0,60.0,1.0,165.0,2,1,"65"" hyundai h-led65qbu7500",1,16.0,2.0,4.8,12.0,8,0,1.0
79990.0,0,0.0,1.0,0.0,1.0,24.6,0.0,12.0,0,0.0,1.0,1.0,1.0,1.0,0,7,1.0,0.0,0,0.0,0.0,0.0,0,1,"70"" philips 70pus7956/60",0,8.0,0.0,4.1,4.0,6,0,0.0
23450.0,0,0.0,0.0,0.0,1.0,4.0,0.0,12.0,0,0.0,1.0,1.0,0.0,1.0,0,0,1.0,0.0,0,0.0,1.0,0.0,0,0,"32"" samsung ue32t4500auxce",0,0.0,0.0,5.0,3.0,6,0,0.0
15890.0,0,0.0,1.0,0.0,1.0,5.7,9.5,12.0,2,0.0,0.0,1.0,1.0,0.0,5000,3,0.0,220.0,0,60.0,0.0,102.0,2,8,"40"" starwind sw-led40sg300",1,8.0,1.0,4.9,16.0,3,0,1.0
10490.0,0,1.0,1.0,0.0,1.0,3.7,0.0,12.0,0,0.0,1.0,1.0,1.0,0.0,0,3,0.0,0.0,0,0.0,1.0,0.0,0,8,"32"" hyundai h-led32fs5005",0,8.0,1.0,2.5,2.0,6,0,1.0
27990.0,4,1.0,1.0,0.0,0.0,10.3,8.0,12.0,3,0.0,0.0,1.0,1.0,1.0,5000,9,0.0,280.0,0,60.0,1.0,127.0,10,1,"50"" haier smart tv s1",1,8.0,1.5,5.0,13.0,3,0,1.0
10590.0,4,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0,0.0,0.0,1.0,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,8,"31.5"" yuno ulx-32tcsw2234",0,8.0,1.5,4.8,5.0,6,0,0.0
34990.0,4,1.0,1.0,0.0,0.0,8.2,6.5,12.0,3,0.0,0.0,1.0,1.0,1.0,6000,9,0.0,320.0,0,60.0,1.0,127.0,10,1,"50"" haier smart tv s3",0,0.0,0.0,5.0,15.0,8,0,1.0
129990.0,1,0.0,0.0,0.0,0.0,17.2,0.0,12.0,0,0.0,0.0,1.0,1.0,1.0,0,3,1.0,0.0,0,0.0,0.0,0.0,0,0,"55"" samsung qe55qn85bauxce",0,0.0,0.0,4.0,7.0,6,0,0.0
149990.0,2,0.0,0.0,1.0,0.0,26.5,0.0,12.0,0,0.0,0.0,1.0,1.0,1.0,0,9,1.0,0.0,20,0.0,1.0,0.0,0,5,"65"" hisense 65u8hq",0,0.0,0.0,4.8,16.0,6,0,0.0
79990.0,4,0.0,0.0,0.0,0.0,14.7,0.0,12.0,0,0.0,0.0,1.0,1.0,1.0,0,3,0.0,0.0,0,0.0,0.0,0.0,0,0,"55"" samsung qe55q60bauxce",0,0.0,0.0,5.0,16.0,6,0,0.0
25980.0,0,1.0,1.0,0.0,1.0,12.44,0.0,12.0,0,0.0,0.0,1.0,1.0,1.0,0,3,1.0,0.0,0,0.0,1.0,0.0,0,7,"55"" hyundai h-led55fu7004",0,0.0,0.0,4.1,11.0,6,0,1.0
43990.0,4,1.0,0.0,0.0,1.0,12.5,6.5,12.0,3,0.0,0.0,1.0,1.0,1.0,5000,3,1.0,350.0,0,60.0,1.0,140.0,2,1,"55"" hyundai h-led55qbu7500",1,16.0,2.0,4.3,11.0,8,0,1.0
8390.0,0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,0,0.0,1.0,1.0,1.0,0.0,0,12,0.0,0.0,0,0.0,1.0,0.0,0,8,"24"" yuno ulx-24tcs221",0,0.0,0.0,4.7,10.0,6,0,1.0
19990.0,4,0.0,1.0,0.0,1.0,0.0,0.0,12.0,0,0.0,1.0,1.0,1.0,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,0,8,"43"" telefunken tf-led43s97t2su\y\h",0,8.0,1.5,4.0,17.0,6,0,0.0
61990.0,4,0.0,0.0,0.0,1.0,9.2,0.0,12.0,0,0.0,1.0,1.0,1.0,1.0,0,3,1.0,0.0,0,0.0,1.0,0.0,0,6,"43"" lg 43nano776qa.aru",0,0.0,0.0,5.0,7.0,6,0,1.0
11290.0,0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,0,0.0,0.0,1.0,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,8,"32"" bbk 32lex-7290/ts2c",0,8.0,1.0,4.8,9.0,6,0,0.0
8890.0,0,1.0,1.0,0.0,1.0,4.75,8.5,12.0,1,0.0,0.0,0.0,0.0,0.0,3000,0,1.0,200.0,0,60.0,1.0,81.0,2,0,"32"" digma dm-led32mbb21",1,0.0,0.0,5.0,8.0,3,0,1.0
129990.0,4,0.0,1.0,0.0,1.0,41.0,0.0,12.0,0,0.0,0.0,1.0,1.0,0.0,0,9,1.0,0.0,0,0.0,1.0,0.0,0,5,"85"" hisense 85a6bg",0,0.0,0.0,5.0,13.0,6,0,1.0
