Цена,Акустическая схема,Таймер включения/выключения,Разъем для наушников,Встроенный сабвуфер,Прогрессивная развертка,Вес без подставки,Время отклика пикселя,Гарантия,Разрешение,Поддержка NFC,Управление со смартфона,Встроенный Wi-Fi,Встроенный Bluetooth,Поддержка HDR,Контрастность,Размер VESA,Телетекст,Яркость экрана,Мощность сабвуфера,Частота обновления,Родительский контроль,Диагональ,Страна производитель,Операционная система,Название,Соотношение сторон,Объем встроенной памяти,Объем оперативной памяти,Рейтинг,Количество отзывов,Тип панели,Цвет,Цифровое шумоподавление
0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,61.0,2,0,0,1,0.0,0.0,0.0,4.0,3,13,1.0
87990.0,1,1.0,0.0,0.0,0.0,0.0,0.0,12.0,3,0.0,1.0,1.0,1.0,1.0,0.0,14,0.0,0.0,0.0,60.0,0.0,0.0,5,1," 65"" sony kd-65x75k",1,16.0,0.0,0.0,10.0,3,0,1.0
62990.0,0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,3,0.0,0.0,1.0,1.0,1.0,0.0,14,0.0,0.0,0.0,60.0,0.0,0.0,7,1," 65"" sharp 4t-c65dl6",1,0.0,0.0,0.0,11.0,3,0,1.0
77990.0,0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,3,0.0,0.0,1.0,1.0,1.0,0.0,7,1.0,0.0,0.0,60.0,0.0,0.0,11,1," 65"" sony kd-65x7500h",1,16.0,0.0,0.0,19.0,3,0,0.0
49990.0,0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,3,0.0,1.0,1.0,1.0,1.0,0.0,3,1.0,0.0,0.0,60.0,0.0,0.0,12,6," 43"" lg 43ur81009lk",0,0.0,0.0,0.0,15.0,3,0,1.0
44990.0,0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,3,0.0,0.0,1.0,1.0,1.0,0.0,3,0.0,0.0,0.0,60.0,0.0,0.0,12,6," 43"" lg 43ur78006lk",1,0.0,0.0,0.0,12.0,3,0,1.0
39390.0,1,1.0,1.0,0.0,0.0,0.0,0.0,12.0,3,0.0,1.0,0.0,0.0,1.0,0.0,14,0.0,0.0,0.0,60.0,1.0,0.0,12,6," 43"" lg 43uq81006lb",0,0.0,0.0,0.0,17.0,3,0,1.0
52990.0,0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,3,0.0,0.0,1.0,1.0,1.0,0.0,14,0.0,0.0,0.0,60.0,0.0,0.0,12,6," 43"" lg 43ur91006la",1,0.0,0.0,0.0,16.0,3,0,1.0
30990.0,1,1.0,1.0,0.0,0.0,0.0,0.0,12.0,3,0.0,0.0,0.0,1.0,1.0,0.0,14,1.0,0.0,0.0,60.0,0.0,0.0,12,6," 43"" lg 43uq75006lf",1,0.0,0.0,0.0,20.0,3,0,1.0
49990.0,0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,3,0.0,0.0,1.0,1.0,1.0,0.0,14,0.0,0.0,0.0,60.0,0.0,0.0,12,6," 43"" lg 43ur81006lj",1,0.0,0.0,0.0,15.0,3,0,1.0
